group_type,group_value,run_count,unique_sequences,dominant_sequence,dominant_sequence_count,dominant_sequence_share,avg_collapsed_len,median_collapsed_len,sequence_entropy,success_share
benchmark_agent,cweval::codex,357,175,message > inspect_workspace > execute_probe > read_file > message > generated_code,31,0.08683473389355742,7.798319327731092,7.0,6.6234385471467,0.9073033707865169
benchmark_agent,cweval::openhands,357,3,message > generated_code:error > message > generated_code:error,161,0.45098039215686275,3.3333333333333335,4.0,1.5237480655876263,0.3848396501457726
benchmark_agent,dualgauge::claudecode-opus47,921,55,message:error > finish:error,248,0.2692725298588491,2.791530944625407,2.0,3.1525503017319343,0.02857142857142857
benchmark_agent,dualgauge::codex-gpt54,921,242,message:error,182,0.1976112920738328,3.3300760043431055,3.0,5.546075234266274,0.15570175438596492
benchmark_agent,dualgauge::openhands-gpt54,921,475,message,128,0.13897937024972856,7.352877307274701,6.0,7.393646351196754,0.06387665198237885
benchmark_language,baxbench::go,84,71,message,3,0.03571428571428571,13.083333333333334,14.0,6.046846589342405,
benchmark_language,baxbench::javascript,112,104,message > inspect_workspace,4,0.03571428571428571,19.508928571428573,18.0,6.639900569359717,
benchmark_language,baxbench::php,28,28,message,1,0.03571428571428571,25.392857142857142,26.5,4.807354922057605,
benchmark_language,baxbench::python,112,105,message > inspect_workspace > execute_probe > message > generated_code,4,0.03571428571428571,14.785714285714286,13.0,6.657757712216859,
benchmark_language,baxbench::ruby,28,27,message > inspect_workspace > message > generated_code,2,0.07142857142857142,26.928571428571427,28.5,4.735926350629033,
benchmark_language,baxbench::rust,28,27,message > inspect_workspace > write_file > error > execute_probe > error > inspect_workspace > error > message:error > generated_code:error,2,0.07142857142857142,13.142857142857142,10.0,4.735926350629033,
benchmark_language,cweval::c,279,109,message > generated_code:error > message > generated_code:error,57,0.20430107526881722,6.634408602150538,5.0,5.325728294572495,0.6451612903225806
benchmark_language,cweval::cpp,189,90,message > generated_code:error > message > generated_code:error,37,0.19576719576719576,7.063492063492063,5.0,5.377192966001323,0.6984126984126984
benchmark_language,cweval::go,171,72,message > generated_code:error > message > generated_code,22,0.1286549707602339,6.497076023391813,5.0,5.16695445736206,0.7660818713450293
benchmark_language,cweval::javascript,207,76,message > generated_code:error > message > generated_code:error,25,0.12077294685990338,5.492753623188406,5.0,5.231072539132509,0.7777777777777778
benchmark_language,cweval::python,225,73,message > generated_code:error > message > generated_code:error,26,0.11555555555555555,5.693333333333333,5.0,5.1686117214532015,0.8238095238095238
benchmark_language,dualgauge::cpp,921,335,message,124,0.13463626492942454,4.846905537459284,3.0,6.404098920337968,0.051535087719298246
benchmark_language,dualgauge::javascript,921,306,message:error,100,0.10857763300760044,4.483170466883822,3.0,6.181486556616338,0.0673289183222958
benchmark_language,dualgauge::python,921,298,message:error > finish:error,109,0.11834961997828447,4.144408251900108,3.0,6.193793464053677,0.12938596491228072
language,c,279,109,message > generated_code:error > message > generated_code:error,57,0.20430107526881722,6.634408602150538,5.0,5.325728294572495,0.6451612903225806
language,cpp,1110,425,message,124,0.11171171171171171,5.224324324324324,4.0,6.887570035361446,0.16257947320617622
language,go,255,143,message > generated_code:error > message > generated_code,22,0.08627450980392157,8.666666666666666,6.0,6.371125523740308,0.7660818713450293
language,javascript,1240,484,message:error,100,0.08064516129032258,6.008870967741935,4.0,7.113483974783224,0.19946091644204852
language,php,28,28,message,1,0.03571428571428571,25.392857142857142,26.5,4.807354922057605,
language,python,1258,474,message:error > finish:error,109,0.08664546899841018,5.368839427662957,4.0,7.123173307901465,0.25935828877005346
language,ruby,28,27,message > inspect_workspace > message > generated_code,2,0.07142857142857142,26.928571428571427,28.5,4.735926350629033,
language,rust,28,27,message > inspect_workspace > write_file > error > execute_probe > error > inspect_workspace > error > message:error > generated_code:error,2,0.07142857142857142,13.142857142857142,10.0,4.735926350629033,
outcome,both_fail,1731,440,message,209,0.12073945696129405,4.318890814558059,3.0,6.057890765774401,0.0
outcome,func_and_sec_pass,1003,416,message > generated_code:error,55,0.054835493519441676,6.3010967098703885,6.0,7.419681193591582,1.0
outcome,func_only_pass,331,124,message,65,0.19637462235649547,3.6706948640483383,2.0,5.106751025134195,0.0
outcome,missing,48,25,message:error,8,0.16666666666666666,3.9791666666666665,4.0,4.1551876989901,
outcome,present,392,348,message > inspect_workspace,10,0.025510204081632654,17.278061224489797,15.0,8.265301969342941,
outcome,sec_only_pass,721,336,message:error,61,0.08460471567267684,5.441054091539528,4.0,7.138814065355977,0.0
