group_type,group_value,token,repeat_block_count,run_count_with_repeat,min_repeat_len,median_repeat_len,max_repeat_len,unique_repeat_lens,repeat_len_distribution,looks_fixed
agent_language,claude_code::c,edit_file,1,1,2,2.0,2,2,"{""2"": 1}",True
agent_language,claude_code::c,error,12,8,2,2.0,4,"2,3,4","{""2"": 8, ""3"": 3, ""4"": 1}",False
agent_language,claude_code::c,execute_probe,109,77,2,3.0,11,"2,3,4,5,6,7,8,9,11","{""2"": 36, ""3"": 26, ""4"": 16, ""5"": 11, ""6"": 7, ""7"": 5, ""8"": 3, ""9"": 4, ""11"": 1}",False
agent_language,claude_code::c,inspect_workspace,27,16,2,2.0,4,"2,3,4","{""2"": 22, ""3"": 3, ""4"": 2}",False
agent_language,claude_code::c,message,2,2,2,2.0,2,2,"{""2"": 2}",True
agent_language,claude_code::c,read_file,25,21,2,2.0,4,"2,3,4","{""2"": 19, ""3"": 5, ""4"": 1}",False
agent_language,claude_code::c,search,2,2,2,2.0,2,2,"{""2"": 2}",True
agent_language,claude_code::c,write_file,7,7,2,2.0,2,2,"{""2"": 7}",True
agent_language,claude_code::cpp,edit_file,2,2,2,2.0,2,2,"{""2"": 2}",True
agent_language,claude_code::cpp,error,8,7,2,2.0,3,"2,3","{""2"": 7, ""3"": 1}",False
agent_language,claude_code::cpp,execute_probe,81,46,2,3.0,10,"2,3,4,5,6,7,8,10","{""2"": 30, ""3"": 20, ""4"": 10, ""5"": 8, ""6"": 3, ""7"": 6, ""8"": 3, ""10"": 1}",False
agent_language,claude_code::cpp,inspect_workspace,31,19,2,2.0,3,"2,3","{""2"": 21, ""3"": 10}",False
agent_language,claude_code::cpp,read_file,17,15,2,2.0,4,"2,3,4","{""2"": 10, ""3"": 6, ""4"": 1}",False
agent_language,claude_code::cpp,search,1,1,3,3.0,3,3,"{""3"": 1}",True
agent_language,claude_code::cpp,write_file,10,7,2,2.0,4,"2,4","{""2"": 9, ""4"": 1}",False
agent_language,claude_code::go,edit_file,2,2,2,2.0,2,2,"{""2"": 2}",True
agent_language,claude_code::go,error,4,3,2,2.0,2,2,"{""2"": 4}",True
agent_language,claude_code::go,execute_probe,50,41,2,3.0,13,"2,3,4,5,6,7,8,13","{""2"": 23, ""3"": 7, ""4"": 7, ""5"": 3, ""6"": 6, ""7"": 2, ""8"": 1, ""13"": 1}",False
agent_language,claude_code::go,inspect_workspace,1,1,2,2.0,2,2,"{""2"": 1}",True
agent_language,claude_code::go,install,4,4,2,2.0,2,2,"{""2"": 4}",True
agent_language,claude_code::go,read_file,15,13,2,2.0,6,"2,3,6","{""2"": 10, ""3"": 4, ""6"": 1}",False
agent_language,claude_code::go,write_file,8,6,2,2.5,4,"2,3,4","{""2"": 4, ""3"": 2, ""4"": 2}",False
agent_language,claude_code::javascript,edit_file,1,1,3,3.0,3,3,"{""3"": 1}",True
agent_language,claude_code::javascript,error,2,2,2,2.0,2,2,"{""2"": 2}",True
agent_language,claude_code::javascript,execute_probe,51,51,2,3.0,13,"2,3,4,5,6,7,8,10,12,13","{""2"": 12, ""3"": 14, ""4"": 8, ""5"": 4, ""6"": 4, ""7"": 4, ""8"": 1, ""10"": 1, ""12"": 2, ""13"": 1}",False
agent_language,claude_code::javascript,install,2,1,2,2.0,2,2,"{""2"": 2}",True
agent_language,claude_code::javascript,read_file,1,1,2,2.0,2,2,"{""2"": 1}",True
agent_language,claude_code::javascript,write_file,5,5,2,2.0,3,"2,3","{""2"": 3, ""3"": 2}",False
agent_language,claude_code::python,edit_file,2,1,2,2.0,2,2,"{""2"": 2}",True
agent_language,claude_code::python,error,13,13,2,2.0,3,"2,3","{""2"": 12, ""3"": 1}",False
agent_language,claude_code::python,execute_probe,10,9,2,2.5,8,"2,3,5,8","{""2"": 5, ""3"": 2, ""5"": 2, ""8"": 1}",False
agent_language,claude_code::python,install,15,15,2,2.0,3,"2,3","{""2"": 11, ""3"": 4}",False
agent_language,claude_code::python,message,25,25,4,4.0,4,4,"{""4"": 25}",True
agent_language,claude_code::python,write_file,3,3,2,2.0,2,2,"{""2"": 3}",True
agent_language,claudecode-opus47::cpp,inspect_workspace,1,1,4,4.0,4,4,"{""4"": 1}",True
agent_language,claudecode-opus47::cpp,write_file,1,1,2,2.0,2,2,"{""2"": 1}",True
agent_language,claudecode-opus47::javascript,error,2,2,2,2.0,2,2,"{""2"": 2}",True
agent_language,claudecode-opus47::javascript,read_file,1,1,2,2.0,2,2,"{""2"": 1}",True
agent_language,codex-gpt54::cpp,error,108,100,2,2.0,7,"2,3,4,5,6,7","{""2"": 63, ""3"": 27, ""4"": 13, ""5"": 2, ""6"": 2, ""7"": 1}",False
agent_language,codex-gpt54::cpp,execute_probe,1,1,8,8.0,8,8,"{""8"": 1}",True
agent_language,codex-gpt54::cpp,inspect_workspace,16,15,2,2.0,9,"2,3,9","{""2"": 14, ""3"": 1, ""9"": 1}",False
agent_language,codex-gpt54::cpp,item.updated,1,1,2,2.0,2,2,"{""2"": 1}",True
agent_language,codex-gpt54::cpp,read_file,13,13,2,2.0,4,"2,4","{""2"": 12, ""4"": 1}",False
agent_language,codex-gpt54::cpp,search,18,17,2,2.0,3,"2,3","{""2"": 17, ""3"": 1}",False
agent_language,codex-gpt54::cpp,web_search,1,1,4,4.0,4,4,"{""4"": 1}",True
agent_language,codex-gpt54::javascript,error,116,110,2,2.0,6,"2,3,4,5,6","{""2"": 62, ""3"": 34, ""4"": 14, ""5"": 4, ""6"": 2}",False
agent_language,codex-gpt54::javascript,execute_probe,5,5,2,2.0,6,"2,6","{""2"": 4, ""6"": 1}",False
agent_language,codex-gpt54::javascript,inspect_workspace,32,29,2,2.0,4,"2,3,4","{""2"": 27, ""3"": 4, ""4"": 1}",False
agent_language,codex-gpt54::javascript,read_file,16,16,2,2.0,6,"2,3,5,6","{""2"": 13, ""3"": 1, ""5"": 1, ""6"": 1}",False
agent_language,codex-gpt54::javascript,search,13,13,2,2.0,3,"2,3","{""2"": 12, ""3"": 1}",False
agent_language,codex-gpt54::javascript,web_search,1,1,15,15.0,15,15,"{""15"": 1}",True
agent_language,codex-gpt54::python,error,142,133,2,2.0,7,"2,3,4,5,6,7","{""2"": 72, ""3"": 49, ""4"": 12, ""5"": 7, ""6"": 1, ""7"": 1}",False
agent_language,codex-gpt54::python,execute_probe,7,7,2,2.0,4,"2,3,4","{""2"": 5, ""3"": 1, ""4"": 1}",False
agent_language,codex-gpt54::python,inspect_workspace,27,26,2,2.0,3,"2,3","{""2"": 24, ""3"": 3}",False
agent_language,codex-gpt54::python,message:error,1,1,2,2.0,2,2,"{""2"": 1}",True
agent_language,codex-gpt54::python,read_file,9,9,2,3.0,7,"2,3,4,5,7","{""2"": 4, ""3"": 1, ""4"": 2, ""5"": 1, ""7"": 1}",False
agent_language,codex-gpt54::python,search,21,21,2,2.0,3,"2,3","{""2"": 13, ""3"": 8}",False
agent_language,codex::c,error,18,14,2,2.0,8,"2,6,7,8","{""2"": 15, ""6"": 1, ""7"": 1, ""8"": 1}",False
agent_language,codex::c,execute_probe,92,86,2,2.0,9,"2,3,4,5,6,7,9","{""2"": 52, ""3"": 24, ""4"": 9, ""5"": 4, ""6"": 1, ""7"": 1, ""9"": 1}",False
agent_language,codex::c,inspect_workspace,80,78,2,4.0,7,"2,3,4,5,6,7","{""2"": 7, ""3"": 12, ""4"": 35, ""5"": 22, ""6"": 3, ""7"": 1}",False
agent_language,codex::c,read_file,11,11,2,2.0,3,"2,3","{""2"": 10, ""3"": 1}",False
agent_language,codex::c,search,1,1,3,3.0,3,3,"{""3"": 1}",True
agent_language,codex::cpp,error,11,10,2,2.0,3,"2,3","{""2"": 10, ""3"": 1}",False
agent_language,codex::cpp,execute_probe,58,50,2,2.0,5,"2,3,4,5","{""2"": 31, ""3"": 14, ""4"": 8, ""5"": 5}",False
agent_language,codex::cpp,inspect_workspace,45,43,2,4.0,6,"2,3,4,5,6","{""2"": 4, ""3"": 8, ""4"": 18, ""5"": 12, ""6"": 3}",False
agent_language,codex::cpp,read_file,2,2,2,2.0,2,2,"{""2"": 2}",True
agent_language,codex::cpp,write_file,4,2,2,2.0,3,"2,3","{""2"": 3, ""3"": 1}",False
agent_language,codex::go,error,66,52,2,2.0,6,"2,3,4,5,6","{""2"": 45, ""3"": 16, ""4"": 1, ""5"": 3, ""6"": 1}",False
agent_language,codex::go,execute_probe,92,56,2,2.0,8,"2,3,4,5,7,8","{""2"": 63, ""3"": 17, ""4"": 7, ""5"": 3, ""7"": 1, ""8"": 1}",False
agent_language,codex::go,inspect_workspace,154,121,2,4.0,8,"2,3,4,5,6,7,8","{""2"": 38, ""3"": 32, ""4"": 40, ""5"": 33, ""6"": 9, ""7"": 1, ""8"": 1}",False
agent_language,codex::go,message,1,1,2,2.0,2,2,"{""2"": 1}",True
agent_language,codex::go,read_file,17,16,2,2.0,4,"2,3,4","{""2"": 13, ""3"": 3, ""4"": 1}",False
agent_language,codex::go,search,5,4,2,2.0,2,2,"{""2"": 5}",True
agent_language,codex::go,test,8,8,2,2.0,2,2,"{""2"": 8}",True
agent_language,codex::go,write_file,53,51,2,2.0,6,"2,3,4,5,6","{""2"": 37, ""3"": 10, ""4"": 3, ""5"": 2, ""6"": 1}",False
agent_language,codex::javascript,error,89,59,2,2.0,7,"2,3,4,5,6,7","{""2"": 54, ""3"": 15, ""4"": 8, ""5"": 8, ""6"": 2, ""7"": 2}",False
agent_language,codex::javascript,execute_probe,311,100,2,3.0,13,"2,3,4,5,6,7,8,9,10,13","{""2"": 153, ""3"": 74, ""4"": 40, ""5"": 17, ""6"": 12, ""7"": 8, ""8"": 2, ""9"": 3, ""10"": 1, ""13"": 1}",False
agent_language,codex::javascript,inspect_workspace,199,152,2,4.0,10,"2,3,4,5,6,7,8,9,10","{""2"": 57, ""3"": 39, ""4"": 50, ""5"": 19, ""6"": 20, ""7"": 8, ""8"": 2, ""9"": 3, ""10"": 1}",False
agent_language,codex::javascript,install,4,4,2,2.0,2,2,"{""2"": 4}",True
agent_language,codex::javascript,read_file,25,18,2,2.0,5,"2,3,4,5","{""2"": 18, ""3"": 5, ""4"": 1, ""5"": 1}",False
agent_language,codex::javascript,search,5,5,2,2.0,7,"2,7","{""2"": 4, ""7"": 1}",False
agent_language,codex::javascript,write_file,53,44,2,4.0,11,"2,3,4,5,7,8,9,10,11","{""2"": 21, ""3"": 5, ""4"": 9, ""5"": 5, ""7"": 4, ""8"": 3, ""9"": 4, ""10"": 1, ""11"": 1}",False
agent_language,codex::php,error,11,9,2,2.0,4,"2,3,4","{""2"": 8, ""3"": 2, ""4"": 1}",False
agent_language,codex::php,execute_probe,93,24,2,2.0,11,"2,3,4,5,7,11","{""2"": 52, ""3"": 24, ""4"": 9, ""5"": 6, ""7"": 1, ""11"": 1}",False
agent_language,codex::php,inspect_workspace,61,26,2,2.0,11,"2,3,4,5,6,7,8,9,10,11","{""2"": 32, ""3"": 9, ""4"": 5, ""5"": 4, ""6"": 2, ""7"": 4, ""8"": 2, ""9"": 1, ""10"": 1, ""11"": 1}",False
agent_language,codex::php,read_file,48,22,2,2.0,6,"2,3,4,6","{""2"": 25, ""3"": 12, ""4"": 9, ""6"": 2}",False
agent_language,codex::php,search,5,2,2,2.0,3,"2,3","{""2"": 3, ""3"": 2}",False
agent_language,codex::php,write_file,19,14,2,2.0,4,"2,3,4","{""2"": 11, ""3"": 5, ""4"": 3}",False
agent_language,codex::python,error,108,78,2,2.0,8,"2,3,4,5,6,8","{""2"": 59, ""3"": 31, ""4"": 10, ""5"": 3, ""6"": 4, ""8"": 1}",False
agent_language,codex::python,execute_probe,158,80,2,3.0,9,"2,3,4,5,6,7,8,9","{""2"": 72, ""3"": 35, ""4"": 24, ""5"": 16, ""6"": 4, ""7"": 4, ""8"": 1, ""9"": 2}",False
agent_language,codex::python,inspect_workspace,177,164,2,4.0,9,"2,3,4,5,6,7,9","{""2"": 27, ""3"": 33, ""4"": 74, ""5"": 32, ""6"": 9, ""7"": 1, ""9"": 1}",False
agent_language,codex::python,install,2,2,2,2.0,2,2,"{""2"": 2}",True
agent_language,codex::python,read_file,37,26,2,2.0,11,"2,3,5,6,11","{""2"": 24, ""3"": 10, ""5"": 1, ""6"": 1, ""11"": 1}",False
agent_language,codex::python,write_file,57,36,2,3.0,17,"2,3,4,5,6,7,9,10,11,12,13,14,15,17","{""2"": 23, ""3"": 11, ""4"": 4, ""5"": 3, ""6"": 2, ""7"": 1, ""9"": 2, ""10"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 4, ""15"": 1, ""17"": 2}",False
agent_language,codex::ruby,error,4,4,2,2.5,3,"2,3","{""2"": 2, ""3"": 2}",False
agent_language,codex::ruby,execute_probe,71,23,2,3.0,10,"2,3,4,5,6,7,8,10","{""2"": 31, ""3"": 24, ""4"": 5, ""5"": 5, ""6"": 2, ""7"": 2, ""8"": 1, ""10"": 1}",False
agent_language,codex::ruby,inspect_workspace,46,28,2,4.0,11,"2,3,4,5,6,7,8,9,10,11","{""2"": 18, ""3"": 2, ""4"": 4, ""5"": 4, ""6"": 3, ""7"": 4, ""8"": 5, ""9"": 3, ""10"": 1, ""11"": 2}",False
agent_language,codex::ruby,install,4,4,2,2.0,2,2,"{""2"": 4}",True
agent_language,codex::ruby,read_file,54,24,2,3.0,6,"2,3,4,5,6","{""2"": 25, ""3"": 18, ""4"": 7, ""5"": 3, ""6"": 1}",False
agent_language,codex::ruby,search,2,2,2,2.0,2,2,"{""2"": 2}",True
agent_language,codex::ruby,test,1,1,2,2.0,2,2,"{""2"": 1}",True
agent_language,codex::ruby,write_file,24,13,2,3.0,6,"2,3,4,5,6","{""2"": 9, ""3"": 8, ""4"": 3, ""5"": 2, ""6"": 2}",False
agent_language,codex::rust,error,32,18,2,2.0,5,"2,3,4,5","{""2"": 21, ""3"": 7, ""4"": 3, ""5"": 1}",False
agent_language,codex::rust,execute_probe,16,10,2,2.5,6,"2,3,4,6","{""2"": 8, ""3"": 5, ""4"": 2, ""6"": 1}",False
agent_language,codex::rust,inspect_workspace,37,28,2,4.0,6,"2,3,4,5,6","{""2"": 9, ""3"": 7, ""4"": 12, ""5"": 7, ""6"": 2}",False
agent_language,codex::rust,read_file,4,4,2,2.5,4,"2,3,4","{""2"": 2, ""3"": 1, ""4"": 1}",False
agent_language,codex::rust,search,1,1,2,2.0,2,2,"{""2"": 1}",True
agent_language,codex::rust,write_file,11,9,2,2.0,3,"2,3","{""2"": 8, ""3"": 3}",False
agent_language,openhands-gpt54::cpp,agent_action,197,115,2,2.0,6,"2,3,4,5,6","{""2"": 145, ""3"": 34, ""4"": 15, ""5"": 1, ""6"": 2}",False
agent_language,openhands-gpt54::cpp,edit_file,30,26,2,2.5,6,"2,3,4,5,6","{""2"": 15, ""3"": 9, ""4"": 3, ""5"": 2, ""6"": 1}",False
agent_language,openhands-gpt54::cpp,error,82,66,2,2.0,5,"2,3,4,5","{""2"": 62, ""3"": 16, ""4"": 3, ""5"": 1}",False
agent_language,openhands-gpt54::cpp,execute_probe,9,9,2,2.0,4,"2,3,4","{""2"": 7, ""3"": 1, ""4"": 1}",False
agent_language,openhands-gpt54::cpp,inspect_workspace,46,41,2,2.0,3,"2,3","{""2"": 42, ""3"": 4}",False
agent_language,openhands-gpt54::cpp,message,51,51,2,2.0,2,2,"{""2"": 51}",True
agent_language,openhands-gpt54::cpp,message:error,24,24,2,2.0,2,2,"{""2"": 24}",True
agent_language,openhands-gpt54::cpp,read_file,211,165,2,2.0,11,"2,3,4,5,11","{""2"": 184, ""3"": 19, ""4"": 4, ""5"": 3, ""11"": 1}",False
agent_language,openhands-gpt54::cpp,search,5,5,2,2.0,3,"2,3","{""2"": 3, ""3"": 2}",False
agent_language,openhands-gpt54::cpp,write_file,64,52,2,2.0,3,"2,3","{""2"": 52, ""3"": 12}",False
agent_language,openhands-gpt54::javascript,agent_action,69,49,2,2.0,4,"2,3,4","{""2"": 59, ""3"": 8, ""4"": 2}",False
agent_language,openhands-gpt54::javascript,edit_file,6,6,2,2.0,3,"2,3","{""2"": 5, ""3"": 1}",False
agent_language,openhands-gpt54::javascript,error,94,77,2,2.0,5,"2,3,4,5","{""2"": 67, ""3"": 21, ""4"": 5, ""5"": 1}",False
agent_language,openhands-gpt54::javascript,execute_probe,17,15,2,2.0,3,"2,3","{""2"": 15, ""3"": 2}",False
agent_language,openhands-gpt54::javascript,inspect_workspace,24,21,2,2.0,3,"2,3","{""2"": 21, ""3"": 3}",False
agent_language,openhands-gpt54::javascript,message,41,41,2,2.0,2,2,"{""2"": 41}",True
agent_language,openhands-gpt54::javascript,message:error,28,28,2,2.0,2,2,"{""2"": 28}",True
agent_language,openhands-gpt54::javascript,read_file,192,165,2,2.0,7,"2,3,4,5,7","{""2"": 176, ""3"": 11, ""4"": 3, ""5"": 1, ""7"": 1}",False
agent_language,openhands-gpt54::javascript,search,1,1,2,2.0,2,2,"{""2"": 1}",True
agent_language,openhands-gpt54::javascript,write_file,41,36,2,2.0,4,"2,3,4","{""2"": 34, ""3"": 6, ""4"": 1}",False
agent_language,openhands-gpt54::python,agent_action,54,44,2,2.0,4,"2,3,4","{""2"": 48, ""3"": 5, ""4"": 1}",False
agent_language,openhands-gpt54::python,edit_file,8,8,2,2.0,5,"2,3,4,5","{""2"": 5, ""3"": 1, ""4"": 1, ""5"": 1}",False
agent_language,openhands-gpt54::python,error,88,73,2,2.0,5,"2,3,4,5","{""2"": 67, ""3"": 18, ""4"": 2, ""5"": 1}",False
agent_language,openhands-gpt54::python,execute_probe,6,6,2,2.0,2,2,"{""2"": 6}",True
agent_language,openhands-gpt54::python,inspect_workspace,19,18,2,2.0,3,"2,3","{""2"": 16, ""3"": 3}",False
agent_language,openhands-gpt54::python,message,36,36,2,2.0,2,2,"{""2"": 36}",True
agent_language,openhands-gpt54::python,message:error,25,25,2,2.0,2,2,"{""2"": 25}",True
agent_language,openhands-gpt54::python,read_file,182,162,2,2.0,5,"2,3,4,5","{""2"": 174, ""3"": 4, ""4"": 2, ""5"": 2}",False
agent_language,openhands-gpt54::python,test,1,1,2,2.0,2,2,"{""2"": 1}",True
agent_language,openhands-gpt54::python,write_file,50,47,2,2.0,5,"2,3,4,5","{""2"": 35, ""3"": 10, ""4"": 4, ""5"": 1}",False
benchmark,baxbench,error,271,188,2,2.0,8,"2,3,4,5,6,7,8","{""2"": 171, ""3"": 56, ""4"": 20, ""5"": 15, ""6"": 6, ""7"": 2, ""8"": 1}",False
benchmark,baxbench,execute_probe,649,229,2,3.0,13,"2,3,4,5,6,7,8,9,10,11,13","{""2"": 322, ""3"": 160, ""4"": 75, ""5"": 45, ""6"": 19, ""7"": 16, ""8"": 4, ""9"": 4, ""10"": 2, ""11"": 1, ""13"": 1}",False
benchmark,baxbench,inspect_workspace,521,377,2,4.0,11,"2,3,4,5,6,7,8,9,10,11","{""2"": 161, ""3"": 91, ""4"": 135, ""5"": 65, ""6"": 29, ""7"": 17, ""8"": 9, ""9"": 8, ""10"": 3, ""11"": 3}",False
benchmark,baxbench,install,10,10,2,2.0,2,2,"{""2"": 10}",True
benchmark,baxbench,read_file,174,100,2,2.0,11,"2,3,4,5,6,11","{""2"": 98, ""3"": 48, ""4"": 18, ""5"": 5, ""6"": 4, ""11"": 1}",False
benchmark,baxbench,search,14,11,2,2.0,7,"2,3,7","{""2"": 11, ""3"": 2, ""7"": 1}",False
benchmark,baxbench,test,6,6,2,2.0,2,2,"{""2"": 6}",True
benchmark,baxbench,write_file,217,167,2,2.0,17,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,17","{""2"": 109, ""3"": 42, ""4"": 22, ""5"": 12, ""6"": 5, ""7"": 5, ""8"": 3, ""9"": 6, ""10"": 2, ""11"": 2, ""12"": 1, ""13"": 1, ""14"": 4, ""15"": 1, ""17"": 2}",False
benchmark,cweval,edit_file,8,7,2,2.0,3,"2,3","{""2"": 7, ""3"": 1}",False
benchmark,cweval,error,107,89,2,2.0,8,"2,3,4,6,7,8","{""2"": 76, ""3"": 23, ""4"": 4, ""6"": 2, ""7"": 1, ""8"": 1}",False
benchmark,cweval,execute_probe,543,424,2,3.0,13,"2,3,4,5,6,7,8,9,10,11,12,13","{""2"": 246, ""3"": 126, ""4"": 70, ""5"": 39, ""6"": 21, ""7"": 18, ""8"": 10, ""9"": 6, ""10"": 2, ""11"": 1, ""12"": 2, ""13"": 2}",False
benchmark,cweval,inspect_workspace,337,299,2,4.0,8,"2,3,4,5,6,7,8","{""2"": 75, ""3"": 64, ""4"": 105, ""5"": 68, ""6"": 22, ""7"": 2, ""8"": 1}",False
benchmark,cweval,install,21,20,2,2.0,3,"2,3","{""2"": 17, ""3"": 4}",False
benchmark,cweval,message,28,28,2,4.0,4,"2,4","{""2"": 3, ""4"": 25}",False
benchmark,cweval,read_file,82,73,2,2.0,6,"2,3,4,6","{""2"": 61, ""3"": 17, ""4"": 3, ""6"": 1}",False
benchmark,cweval,search,8,7,2,2.0,3,"2,3","{""2"": 6, ""3"": 2}",False
benchmark,cweval,test,3,3,2,2.0,2,2,"{""2"": 3}",True
benchmark,cweval,write_file,37,30,2,2.0,4,"2,3,4","{""2"": 29, ""3"": 5, ""4"": 3}",False
benchmark,dualgauge,agent_action,320,208,2,2.0,6,"2,3,4,5,6","{""2"": 252, ""3"": 47, ""4"": 18, ""5"": 1, ""6"": 2}",False
benchmark,dualgauge,edit_file,44,40,2,2.0,6,"2,3,4,5,6","{""2"": 25, ""3"": 11, ""4"": 4, ""5"": 3, ""6"": 1}",False
benchmark,dualgauge,error,632,561,2,2.0,7,"2,3,4,5,6,7","{""2"": 395, ""3"": 165, ""4"": 49, ""5"": 16, ""6"": 5, ""7"": 2}",False
benchmark,dualgauge,execute_probe,45,43,2,2.0,8,"2,3,4,6,8","{""2"": 37, ""3"": 4, ""4"": 2, ""6"": 1, ""8"": 1}",False
benchmark,dualgauge,inspect_workspace,165,151,2,2.0,9,"2,3,4,9","{""2"": 144, ""3"": 18, ""4"": 2, ""9"": 1}",False
benchmark,dualgauge,item.updated,1,1,2,2.0,2,2,"{""2"": 1}",True
