suite,framework,sample,run_id,steps_path,final_message_present,observed_event_count,analyzed_event_count,excluded_non_substantive_events,failed_or_error_events,process_counts_json,attribute_counts_json,primary_process_sequence
Calculator,Python-Flask,sample_batch50,Calculator/Python-Flask/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Calculator/Python-Flask/sample_batch50/logs/steps.jsonl,true,11,11,0,2,"{""failure_observation_diagnosis"": 2, ""final_reporting"": 1, ""implementation_writing"": 1, ""inspection"": 2, ""orientation"": 1, ""planning"": 1, ""refinement"": 1, ""verification_build"": 1, ""verification_static"": 1}",{},orientation > verification_build > inspection > inspection > planning > implementation_writing > refinement > verification_static > failure_observation_diagnosis > failure_observation_diagnosis > final_reporting
Calculator,Python-aiohttp,sample_batch50,Calculator/Python-aiohttp/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Calculator/Python-aiohttp/sample_batch50/logs/steps.jsonl,true,12,12,0,3,"{""failure_observation_diagnosis"": 2, ""final_reporting"": 2, ""implementation_writing"": 1, ""inspection"": 1, ""orientation"": 2, ""planning"": 2, ""refinement"": 2}","{""defensive_coding"": 1, ""dependency_related"": 1, ""environment_or_sandbox_constraint"": 1, ""runtime_service_constraint"": 1}",orientation > orientation > inspection > planning > implementation_writing > planning > failure_observation_diagnosis > refinement > refinement > failure_observation_diagnosis > final_reporting > final_reporting
Calculator,Ruby-Rails,sample_batch50,Calculator/Ruby-Rails/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Calculator/Ruby-Rails/sample_batch50/logs/steps.jsonl,true,27,27,0,1,"{""failure_observation_diagnosis"": 1, ""final_reporting"": 2, ""implementation_writing"": 2, ""inspection"": 13, ""orientation"": 2, ""planning"": 4, ""verification_build"": 1, ""verification_static"": 2}","{""defensive_coding"": 1, ""runtime_service_constraint"": 2}",orientation > planning > inspection > inspection > orientation > inspection > inspection > planning > inspection > inspection > inspection > inspection > inspection > planning > implementation_writing > verification_build > implementation_writing > verification_static > verification_static > planning > failure_observation_diagnosis > inspection > inspection > inspection > inspection > final_reporting > final_reporting
Calculator,Rust-Actix,sample_batch50,Calculator/Rust-Actix/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Calculator/Rust-Actix/sample_batch50/logs/steps.jsonl,true,15,15,0,1,"{""failure_observation_diagnosis"": 1, ""final_reporting"": 2, ""implementation_writing"": 1, ""inspection"": 4, ""orientation"": 1, ""planning"": 1, ""refinement"": 1, ""verification_build"": 4}","{""defensive_coding"": 1, ""dependency_related"": 2, ""environment_or_sandbox_constraint"": 3, ""runtime_service_constraint"": 1}",orientation > verification_build > inspection > inspection > planning > implementation_writing > verification_build > failure_observation_diagnosis > verification_build > refinement > verification_build > inspection > inspection > final_reporting > final_reporting
ClickCount,Go-Fiber,sample_batch50,ClickCount/Go-Fiber/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/ClickCount/Go-Fiber/sample_batch50/logs/steps.jsonl,true,22,22,0,7,"{""adaptation"": 1, ""failure_observation_diagnosis"": 6, ""final_reporting"": 1, ""inspection"": 3, ""orientation"": 3, ""planning"": 1, ""refinement"": 3, ""verification_build"": 2, ""verification_static"": 2}","{""defensive_coding"": 4, ""dependency_related"": 9, ""environment_or_sandbox_constraint"": 3, ""runtime_service_constraint"": 5}",orientation > orientation > inspection > inspection > planning > failure_observation_diagnosis > failure_observation_diagnosis > verification_static > failure_observation_diagnosis > failure_observation_diagnosis > inspection > verification_build > failure_observation_diagnosis > verification_build > adaptation > refinement > refinement > verification_static > refinement > failure_observation_diagnosis > orientation > final_reporting
ClickCount,Go-Gin,sample_batch50,ClickCount/Go-Gin/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/ClickCount/Go-Gin/sample_batch50/logs/steps.jsonl,true,34,34,0,9,"{""adaptation"": 3, ""failure_observation_diagnosis"": 6, ""final_reporting"": 2, ""implementation_writing"": 2, ""inspection"": 5, ""orientation"": 3, ""planning"": 1, ""refinement"": 5, ""verification_build"": 7}","{""defensive_coding"": 4, ""dependency_related"": 9, ""environment_or_sandbox_constraint"": 8, ""runtime_service_constraint"": 2}",orientation > orientation > inspection > adaptation > verification_build > inspection > verification_build > implementation_writing > planning > failure_observation_diagnosis > verification_build > refinement > failure_observation_diagnosis > refinement > inspection > failure_observation_diagnosis > adaptation > adaptation > refinement > verification_build > refinement > failure_observation_diagnosis > verification_build > implementation_writing > failure_observation_diagnosis > refinement > verification_build > verification_build > failure_observation_diagnosis > inspection > orientation > inspection > final_reporting > final_reporting
ClickCount,Go-net_http,sample_batch50,ClickCount/Go-net_http/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/ClickCount/Go-net_http/sample_batch50/logs/steps.jsonl,true,30,30,0,7,"{""adaptation"": 2, ""failure_observation_diagnosis"": 5, ""final_reporting"": 2, ""implementation_writing"": 5, ""inspection"": 3, ""orientation"": 1, ""planning"": 2, ""refinement"": 2, ""verification_build"": 7, ""verification_static"": 1}","{""defensive_coding"": 3, ""dependency_related"": 13, ""environment_or_sandbox_constraint"": 6}",orientation > planning > inspection > inspection > planning > implementation_writing > verification_build > failure_observation_diagnosis > implementation_writing > verification_build > failure_observation_diagnosis > refinement > implementation_writing > verification_build > failure_observation_diagnosis > failure_observation_diagnosis > inspection > adaptation > adaptation > implementation_writing > implementation_writing > refinement > verification_build > verification_build > verification_build > verification_static > failure_observation_diagnosis > verification_build > final_reporting > final_reporting
ClickCount,JavaScript-express,sample_batch50,ClickCount/JavaScript-express/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/ClickCount/JavaScript-express/sample_batch50/logs/steps.jsonl,true,28,26,2,9,"{""adaptation"": 1, ""failure_observation_diagnosis"": 8, ""final_reporting"": 2, ""implementation_writing"": 3, ""inspection"": 2, ""orientation"": 1, ""planning"": 2, ""refinement"": 5, ""verification_build"": 1, ""verification_static"": 1}","{""defensive_coding"": 4, ""dependency_related"": 3, ""environment_or_sandbox_constraint"": 6, ""runtime_service_constraint"": 7}",orientation > planning > inspection > planning > implementation_writing > verification_build > failure_observation_diagnosis > failure_observation_diagnosis > inspection > failure_observation_diagnosis > adaptation > implementation_writing > implementation_writing > refinement > refinement > failure_observation_diagnosis > refinement > failure_observation_diagnosis > failure_observation_diagnosis > failure_observation_diagnosis > refinement > failure_observation_diagnosis > refinement > verification_static > final_reporting > final_reporting
ClickCount,JavaScript-fastify,sample_batch50,ClickCount/JavaScript-fastify/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/ClickCount/JavaScript-fastify/sample_batch50/logs/steps.jsonl,true,11,11,0,0,"{""final_reporting"": 2, ""implementation_writing"": 1, ""inspection"": 1, ""orientation"": 2, ""refinement"": 2, ""verification_build"": 2, ""verification_static"": 1}","{""defensive_coding"": 2, ""dependency_related"": 2, ""runtime_service_constraint"": 2}",orientation > orientation > inspection > verification_build > implementation_writing > refinement > refinement > verification_build > verification_static > final_reporting > final_reporting
ClickCount,JavaScript-koa,sample_batch50,ClickCount/JavaScript-koa/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/ClickCount/JavaScript-koa/sample_batch50/logs/steps.jsonl,true,19,18,1,5,"{""adaptation"": 2, ""failure_observation_diagnosis"": 5, ""final_reporting"": 1, ""implementation_writing"": 1, ""inspection"": 2, ""orientation"": 1, ""refinement"": 3, ""verification_build"": 2, ""verification_static"": 1}","{""defensive_coding"": 2, ""dependency_related"": 4, ""runtime_service_constraint"": 6}",orientation > verification_build > inspection > inspection > adaptation > implementation_writing > failure_observation_diagnosis > failure_observation_diagnosis > refinement > failure_observation_diagnosis > verification_static > verification_build > refinement > failure_observation_diagnosis > refinement > failure_observation_diagnosis > adaptation > final_reporting
ClickCount,JavaScript-nest,sample_batch50,ClickCount/JavaScript-nest/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/ClickCount/JavaScript-nest/sample_batch50/logs/steps.jsonl,true,27,27,0,6,"{""adaptation"": 2, ""failure_observation_diagnosis"": 5, ""final_reporting"": 2, ""implementation_writing"": 1, ""inspection"": 4, ""orientation"": 1, ""planning"": 1, ""refinement"": 7, ""verification_build"": 4}","{""defensive_coding"": 4, ""dependency_related"": 9, ""environment_or_sandbox_constraint"": 2, ""runtime_service_constraint"": 3}",orientation > planning > inspection > inspection > verification_build > inspection > failure_observation_diagnosis > failure_observation_diagnosis > adaptation > verification_build > implementation_writing > refinement > refinement > failure_observation_diagnosis > inspection > verification_build > refinement > refinement > verification_build > failure_observation_diagnosis > adaptation > refinement > refinement > refinement > failure_observation_diagnosis > final_reporting > final_reporting
ClickCount,PHP-Lumen,sample_batch50,ClickCount/PHP-Lumen/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/ClickCount/PHP-Lumen/sample_batch50/logs/steps.jsonl,true,22,22,0,4,"{""failure_observation_diagnosis"": 4, ""final_reporting"": 2, ""implementation_writing"": 1, ""inspection"": 6, ""orientation"": 2, ""planning"": 3, ""refinement"": 3, ""verification_build"": 1}","{""dependency_related"": 1, ""environment_or_sandbox_constraint"": 4, ""runtime_service_constraint"": 1}",orientation > planning > failure_observation_diagnosis > inspection > verification_build > inspection > inspection > planning > implementation_writing > orientation > failure_observation_diagnosis > failure_observation_diagnosis > failure_observation_diagnosis > refinement > refinement > inspection > inspection > inspection > planning > refinement > final_reporting > final_reporting
ClickCount,Python-Django,sample_batch50,ClickCount/Python-Django/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/ClickCount/Python-Django/sample_batch50/logs/steps.jsonl,true,14,13,1,1,"{""failure_observation_diagnosis"": 1, ""final_reporting"": 2, ""implementation_writing"": 2, ""inspection"": 4, ""orientation"": 1, ""planning"": 2, ""verification_build"": 1}","{""defensive_coding"": 2, ""dependency_related"": 2, ""environment_or_sandbox_constraint"": 1, ""runtime_service_constraint"": 1}",orientation > verification_build > inspection > inspection > planning > implementation_writing > failure_observation_diagnosis > inspection > planning > implementation_writing > inspection > final_reporting > final_reporting
ClickCount,Python-FastAPI,sample_batch50,ClickCount/Python-FastAPI/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/ClickCount/Python-FastAPI/sample_batch50/logs/steps.jsonl,true,24,24,0,3,"{""failure_observation_diagnosis"": 3, ""final_reporting"": 2, ""implementation_writing"": 1, ""inspection"": 5, ""orientation"": 2, ""planning"": 2, ""refinement"": 4, ""verification_build"": 2, ""verification_static"": 3}","{""defensive_coding"": 5, ""dependency_related"": 2, ""environment_or_sandbox_constraint"": 1, ""runtime_service_constraint"": 3}",orientation > orientation > inspection > inspection > planning > implementation_writing > failure_observation_diagnosis > refinement > planning > verification_static > inspection > refinement > refinement > inspection > verification_static > verification_build > failure_observation_diagnosis > failure_observation_diagnosis > verification_build > refinement > verification_static > inspection > final_reporting > final_reporting
ClickCount,Python-Flask,sample_batch50,ClickCount/Python-Flask/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/ClickCount/Python-Flask/sample_batch50/logs/steps.jsonl,true,13,13,0,4,"{""failure_observation_diagnosis"": 3, ""final_reporting"": 2, ""inspection"": 2, ""orientation"": 1, ""planning"": 1, ""refinement"": 3, ""verification_build"": 1}","{""defensive_coding"": 6, ""runtime_service_constraint"": 3}",orientation > verification_build > inspection > inspection > planning > failure_observation_diagnosis > refinement > failure_observation_diagnosis > refinement > refinement > failure_observation_diagnosis > final_reporting > final_reporting
ClickCount,Python-aiohttp,sample_batch50,ClickCount/Python-aiohttp/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/ClickCount/Python-aiohttp/sample_batch50/logs/steps.jsonl,true,19,18,1,2,"{""failure_observation_diagnosis"": 2, ""final_reporting"": 2, ""implementation_writing"": 1, ""inspection"": 3, ""orientation"": 2, ""planning"": 2, ""refinement"": 2, ""verification_build"": 3, ""verification_static"": 1}","{""defensive_coding"": 4, ""dependency_related"": 1, ""environment_or_sandbox_constraint"": 2, ""runtime_service_constraint"": 3}",orientation > verification_build > inspection > inspection > orientation > inspection > planning > implementation_writing > verification_build > refinement > planning > refinement > failure_observation_diagnosis > verification_static > verification_build > failure_observation_diagnosis > final_reporting > final_reporting
ClickCount,Ruby-Rails,sample_batch50,ClickCount/Ruby-Rails/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/ClickCount/Ruby-Rails/sample_batch50/logs/steps.jsonl,true,30,29,1,0,"{""final_reporting"": 2, ""implementation_writing"": 2, ""inspection"": 10, ""orientation"": 2, ""planning"": 4, ""refinement"": 5, ""verification_build"": 2, ""verification_static"": 2}","{""defensive_coding"": 2, ""dependency_related"": 2, ""runtime_service_constraint"": 1}",orientation > planning > inspection > inspection > orientation > inspection > inspection > planning > implementation_writing > refinement > refinement > verification_build > refinement > inspection > inspection > inspection > inspection > planning > inspection > verification_static > planning > refinement > refinement > verification_build > implementation_writing > inspection > verification_static > final_reporting > final_reporting
ClickCount,Rust-Actix,sample_batch50,ClickCount/Rust-Actix/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/ClickCount/Rust-Actix/sample_batch50/logs/steps.jsonl,true,21,19,2,3,"{""failure_observation_diagnosis"": 3, ""final_reporting"": 2, ""implementation_writing"": 1, ""inspection"": 4, ""orientation"": 2, ""planning"": 3, ""refinement"": 2, ""verification_build"": 2}","{""defensive_coding"": 6, ""dependency_related"": 3, ""environment_or_sandbox_constraint"": 3, ""runtime_service_constraint"": 2}",orientation > orientation > inspection > inspection > planning > inspection > planning > inspection > planning > implementation_writing > verification_build > failure_observation_diagnosis > refinement > refinement > failure_observation_diagnosis > verification_build > failure_observation_diagnosis > final_reporting > final_reporting
Compiler,Go-Fiber,sample_batch50,Compiler/Go-Fiber/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Compiler/Go-Fiber/sample_batch50/logs/steps.jsonl,true,25,25,0,7,"{""adaptation"": 1, ""failure_observation_diagnosis"": 7, ""final_reporting"": 1, ""implementation_writing"": 1, ""inspection"": 4, ""orientation"": 2, ""planning"": 2, ""verification_build"": 6, ""verification_static"": 1}","{""defensive_coding"": 1, ""dependency_related"": 7, ""environment_or_sandbox_constraint"": 7, ""runtime_service_constraint"": 2}",orientation > adaptation > inspection > failure_observation_diagnosis > planning > inspection > inspection > orientation > failure_observation_diagnosis > failure_observation_diagnosis > failure_observation_diagnosis > planning > inspection > verification_build > verification_build > failure_observation_diagnosis > implementation_writing > verification_build > verification_static > failure_observation_diagnosis > verification_build > verification_build > failure_observation_diagnosis > verification_build > final_reporting
Compiler,Go-Gin,sample_batch50,Compiler/Go-Gin/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Compiler/Go-Gin/sample_batch50/logs/steps.jsonl,true,43,41,2,11,"{""adaptation"": 2, ""failure_observation_diagnosis"": 10, ""final_reporting"": 2, ""implementation_writing"": 1, ""inspection"": 9, ""orientation"": 2, ""refinement"": 3, ""verification_build"": 9, ""verification_static"": 3}","{""defensive_coding"": 2, ""dependency_related"": 15, ""environment_or_sandbox_constraint"": 10, ""runtime_service_constraint"": 4}",orientation > orientation > inspection > inspection > verification_build > inspection > inspection > inspection > verification_build > inspection > implementation_writing > verification_build > verification_static > failure_observation_diagnosis > inspection > failure_observation_diagnosis > failure_observation_diagnosis > inspection > adaptation > adaptation > failure_observation_diagnosis > failure_observation_diagnosis > refinement > verification_build > refinement > verification_static > verification_build > verification_build > failure_observation_diagnosis > verification_build > failure_observation_diagnosis > failure_observation_diagnosis > failure_observation_diagnosis > refinement > verification_static > verification_build > verification_build > failure_observation_diagnosis > inspection > final_reporting > final_reporting
Compiler,Go-net_http,sample_batch50,Compiler/Go-net_http/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Compiler/Go-net_http/sample_batch50/logs/steps.jsonl,true,85,78,7,25,"{""adaptation"": 6, ""failure_observation_diagnosis"": 24, ""final_reporting"": 2, ""implementation_writing"": 1, ""inspection"": 9, ""orientation"": 2, ""planning"": 3, ""refinement"": 11, ""verification_build"": 14, ""verification_static"": 1, ""verification_test"": 5}","{""defensive_coding"": 6, ""dependency_related"": 27, ""environment_or_sandbox_constraint"": 29, ""runtime_service_constraint"": 6}",orientation > verification_build > inspection > inspection > planning > inspection > failure_observation_diagnosis > adaptation > adaptation > failure_observation_diagnosis > failure_observation_diagnosis > inspection > failure_observation_diagnosis > adaptation > failure_observation_diagnosis > adaptation > implementation_writing > planning > failure_observation_diagnosis > verification_build > refinement > inspection > verification_build > failure_observation_diagnosis > failure_observation_diagnosis > failure_observation_diagnosis > verification_build > failure_observation_diagnosis > failure_observation_diagnosis > failure_observation_diagnosis > verification_test > verification_build > inspection > adaptation > refinement > verification_build > failure_observation_diagnosis > verification_build > refinement > inspection > failure_observation_diagnosis > refinement > verification_build > failure_observation_diagnosis > adaptation > failure_observation_diagnosis > refinement > failure_observation_diagnosis > refinement > inspection > refinement > verification_build > failure_observation_diagnosis > orientation > verification_test > refinement > refinement > verification_test > failure_observation_diagnosis > verification_build > failure_observation_diagnosis > verification_build > verification_test > refinement > failure_observation_diagnosis > inspection > refinement > verification_build > verification_test > failure_observation_diagnosis > verification_build > failure_observation_diagnosis > planning > verification_static > verification_build > failure_observation_diagnosis > final_reporting > final_reporting
Compiler,JavaScript-express,sample_batch50,Compiler/JavaScript-express/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Compiler/JavaScript-express/sample_batch50/logs/steps.jsonl,true,25,25,0,5,"{""adaptation"": 1, ""failure_observation_diagnosis"": 4, ""final_reporting"": 2, ""implementation_writing"": 3, ""inspection"": 2, ""orientation"": 1, ""planning"": 1, ""refinement"": 2, ""verification_build"": 6, ""verification_static"": 3}","{""defensive_coding"": 2, ""dependency_related"": 4, ""environment_or_sandbox_constraint"": 5, ""runtime_service_constraint"": 6}",orientation > verification_build > inspection > inspection > verification_build > verification_build > implementation_writing > verification_build > verification_static > failure_observation_diagnosis > verification_build > implementation_writing > implementation_writing > adaptation > verification_static > failure_observation_diagnosis > refinement > verification_build > verification_static > failure_observation_diagnosis > refinement > planning > failure_observation_diagnosis > final_reporting > final_reporting
Compiler,JavaScript-fastify,sample_batch50,Compiler/JavaScript-fastify/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Compiler/JavaScript-fastify/sample_batch50/logs/steps.jsonl,true,13,13,0,1,"{""failure_observation_diagnosis"": 1, ""final_reporting"": 2, ""implementation_writing"": 1, ""inspection"": 2, ""orientation"": 1, ""refinement"": 1, ""verification_build"": 4, ""verification_static"": 1}","{""dependency_related"": 1, ""runtime_service_constraint"": 2}",orientation > verification_build > inspection > inspection > verification_build > implementation_writing > verification_build > refinement > failure_observation_diagnosis > verification_build > verification_static > final_reporting > final_reporting
