policy_id,source,sdlc_stage,sdlc_confidence,sdlc_secondary_stages,sdlc_rationale,scope,policy_description,reference
CWE-033,CWE_Top25,Implementation,high,,Using structured mechanisms for data/code separation is an implementation-level coding requirement for OS command injection.,"Implementation","Use structured mechanisms that automatically enforce the separation between data and code.","CWE-78"
CWE-034,CWE_Top25,Implementation,high,,Using prepared statements/parameterized queries for SQL is an implementation-level coding practice.,"Implementation","Process SQL queries using prepared statements, parameterized queries, or stored procedures.","CWE-89; REF-867"
CWE-035,CWE_Top25,Implementation,high,,SQL query string character allowlisting is applied during coding.,"Implementation","When constructing SQL query strings, use stringent allowlists that limit the character set based on the expected value of the parameter in the request.","CWE-89"
CWE-036,CWE_Top25,Implementation,high,,Structured mechanisms for data/code separation in SQL contexts is an implementation-level practice.,"Implementation","Use structured mechanisms that automatically enforce the separation between data and code.","CWE-89"
CWE-037,CWE_Top25,Implementation,high,,Proper quoting and escaping in dynamic queries is a coding practice applied during implementation.,"Implementation","While it is risky to use dynamically-generated query strings, code, or commands that mix control and data together, sometimes it may be unavoidable. Properly quote arguments and escape any special characters within those arguments.","CWE-78; CWE-89"
CWE-038,CWE_Top25,Design,high,Implementation,Nonce generation for CSRF protection is an architectural design decision about form security.,"Architecture and Design","Generate a unique nonce for each form, place the nonce into the form, and verify the nonce upon receipt of the form.","CWE-352; REF-332"
CWE-039,CWE_Top25,Implementation,high,,Ensuring XSS-free code to prevent CSRF bypass is an implementation concern.,"Implementation","Ensure that the application is free of cross-site scripting issues (CWE-79), because most CSRF defenses can be bypassed using attacker-controlled script.","CWE-352; CWE-79"
CWE-040,CWE_Top25,Design,high,Implementation,Double-submitted cookie CSRF defense is an architectural design pattern.,"Architecture and Design","Use the double-submitted cookie method as described by Felten and Zeller: When a user visits a site, the site should generate a pseudorandom value and set it as a cookie on the user's machine. The site should require every form submission to include this value as a form value and also as a cookie value.","CWE-352; REF-331"
CWE-041,CWE_Top25,Implementation,high,,Avoiding GET for state-changing requests is an implementation-level HTTP method choice.,"Implementation","Do not use the GET method for any request that triggers a state change.","CWE-352"
CWE-042,CWE_Top25,Implementation,high,,Checking HTTP Referer header is an implementation-level CSRF mitigation technique.,"Implementation","Check the HTTP Referer header to see if the request originated from an expected page.","CWE-352"
CWE-043,CWE_Top25,Implementation,high,Design,Understanding encoding context is primarily applied during coding when generating output.,"Implementation Architecture and Design","Understand the context in which your data will be used and the encoding that will be expected.","CWE-79"
CWE-044,CWE_Top25,Implementation,high,,Using appropriate output encoding for downstream components is an implementation-level practice.,"Implementation","Use and specify an output encoding that can be handled by the downstream component that is reading the output.","CWE-79"
CWE-045,CWE_Top25,Implementation,high,,Setting Struts filter attribute is an implementation-level coding detail.,"Implementation","With Struts, write all data from form beans with the bean's filter attribute set to true.","CWE-79; Struts"
CWE-046,CWE_Top25,Implementation,high,,Setting HttpOnly session cookies is an implementation-level coding practice.,"Implementation","To help mitigate XSS attacks against the user's session cookie, set the session cookie to be HttpOnly.","CWE-79"
CWE-047,CWE_Top25,Design,high,Implementation,Creating input-to-resource mappings is an architectural design decision for indirect reference handling.,"Architecture and Design","When the set of acceptable objects, such as filenames or URLs, is limited or known, create a mapping from a set of fixed input values (such as numeric IDs) to the actual filenames or URLs, and reject all other inputs.","CWE-22; CWE-78; CWE-89"
CWE-048,CWE_Top25,Implementation,high,,Minimal error messages are an implementation-level coding practice to avoid information disclosure.,"Implementation","Ensure that error messages only contain minimal details that are useful to the intended audience and no one else.","CWE-22; CWE-78; CWE-89"
CWE-049,CWE_Top25,Deployment,medium,Design,Sandboxing/jailing is both an architectural design principle and an operational deployment configuration.,"Architecture and Design Operation","Run the code in a jail or similar sandbox environment that enforces strict boundaries between the process and the operating system.","CWE-22; CWE-78"
CWE-050,CWE_Top25,Requirements Analysis,high,,Choosing a memory-safe language is a requirements/planning-time language selection decision.,"Requirements","Use a language that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid.","CWE-120; CWE-122"
CWE-051,CWE_Top25,Implementation,high,,Replacing unbounded copy functions with length-limited versions is a coding-level practice.,"Implementation","Replace unbounded copy functions with analogous functions that support length arguments, such as strcpy with strncpy. Create these if they are not available.","CWE-120; CWE-787"
CWE-052,CWE_Top25,Implementation,high,Deployment,Using compiler buffer overflow detection mechanisms is an implementation/build-time practice.,"Operation Build and Compilation","Use automatic buffer overflow detection mechanisms that are offered by certain compilers or compiler extensions. Examples include: the Microsoft Visual Studio /GS flag, Fedora/Red Hat FORTIFY_SOURCE GCC flag, StackGuard, and ProPolice.","CWE-120; REF-1334"
CWE-053,CWE_Top25,Implementation,high,Deployment,Enabling ASLR/PIE is a build/compilation practice that also applies at deployment.,"Operation Build and Compilation","Run or compile the software using features or extensions that randomly arrange the positions of a program's executable and libraries in memory (ASLR, PIE).","CWE-120; REF-58; REF-60; REF-64"
CWE-054,CWE_Top25,Implementation,high,,Careful buffer boundary checking during coding is an implementation-level practice.,"Implementation","Consider adhering to the following rules when allocating and managing an application's memory: Double check that your buffer is as large as you specify. When using functions that accept a number of bytes to copy, be aware that if the destination buffer size is equal to the source buffer size, it may not NULL-terminate the string.","CWE-120; CWE-787"
CWE-055,CWE_Top25,Implementation,high,,Using memory-safe language abstractions is an implementation-level practice.,"Implementation","Use a language that provides appropriate memory abstractions.","CWE-125"
CWE-056,CWE_Top25,Implementation,high,,Using stringent allowlists to reduce code injection is an implementation-level coding practice.,"Implementation","To reduce the likelihood of code injection, use stringent allowlists that limit which constructs are allowed.","CWE-94"
CWE-057,CWE_Top25,Design,high,Implementation,Refactoring to avoid dynamic code generation is an architectural/design decision.,"Architecture and Design","Refactor your program so that you do not have to dynamically generate code.","CWE-94"
CWE-058,CWE_Top25,Implementation,high,,Populating new objects during deserialization rather than direct deserialization is an implementation practice.,"Implementation","When deserializing data, populate a new object rather than just deserializing. The result is that the data flows through safe input validation and that the functions are safe.","CWE-502"
CWE-059,CWE_Top25,Implementation,high,,Using signing/sealing for deserialized data is an implementation-level security technique.,"Implementation","If available, use the signing/sealing features of the programming language to assure that deserialized data has not been tainted.","CWE-502"
CWE-060,CWE_Top25,Implementation,high,,Allowlisting acceptable deserialization classes is an implementation-level practice.,"Implementation","Avoid having unnecessary types or gadgets available that can be leveraged for malicious ends. Add only acceptable classes to an allowlist.","CWE-502"
CWE-061,CWE_Top25,Design,high,Implementation,Privilege checking for each data access is an access control design principle.,"Architecture and Design","For each and every data access, ensure that the user has sufficient privilege to access the record that is being requested.","CWE-639"
CWE-062,CWE_Top25,Implementation,high,Design,Ensuring lookup keys are not externally controllable is applied at design and implementation.,"Architecture and Design Implementation","Make sure that the key that is used in the lookup of a specific user's record is not controllable externally by the user or that any tampering can be detected.","CWE-639"
CWE-063,CWE_Top25,Design,high,Implementation,Encrypting or signing keys to prevent tampering is primarily a design-level architectural decision.,"Architecture and Design","Use encryption in order to make it more difficult to guess other legitimate values of the key or associate a digital signature with the key so that the server can verify that there has been no tampering.","CWE-639"
CWE-064,CWE_Top25,Design,high,Implementation,Limiting unprivileged user resource access and setting per-user limits is a design principle.,"Architecture and Design","Limit the amount of resources that are accessible to unprivileged users. Set per-user limits for resources. Allow the system administrator to define these limits.","CWE-770"
CWE-065,CWE_Top25,Design,high,Implementation,Designing throttling mechanisms into the system architecture is a design-time activity.,"Architecture and Design","Design throttling mechanisms into the system architecture.","CWE-770"
CWE-066,CWE_Top25,Implementation,high,,Input validation to prevent resource exhaustion is applied during coding.,"Implementation","Assume all input is malicious. Use an accept known good input validation strategy, i.e., use a list of acceptable inputs that strictly conform to specifications.","CWE-770"
CWE-067,CWE_Top25,Deployment,medium,Design,Resource-limiting OS quotas are primarily deployment/operational configurations.,"Architecture and Design Operation","Use quotas or other resource-limiting settings provided by the operating system or environment.","CWE-770"
CWE-068,CWE_Top25,Implementation,high,,Setting freed pointers to NULL is a coding-level memory management practice.,"Implementation","When freeing pointers, be sure to set them to NULL once they are freed.","CWE-416"
CWE-069,CWE_Top25,Design,high,Implementation,Choosing a language with automatic memory management is a design/architecture decision.,"Architecture and Design","Choose a language that provides automatic memory management.","CWE-416; CWE-476"
CWE-070,CWE_Top25,Implementation,high,,Checking pointers for NULL before use is an implementation-level coding practice.,"Implementation","For any pointers that could have been modified or provided from a function that can return NULL, check the pointer for NULL before use.","CWE-476"
CWE-071,CWE_Top25,Implementation,high,,Explicitly initializing all variables is an implementation-level coding practice.,"Implementation","Explicitly initialize all variables and other data stores, either during declaration or just before the first usage.","CWE-476"
CWE-072,CWE_Top25,Design,high,Implementation,Compartmentalizing systems with clear trust boundaries is an architectural design principle.,"Architecture and Design","Compartmentalize the system to have safe areas where trust boundaries can be unambiguously drawn. Do not allow sensitive data to go outside of the trust boundary.","CWE-200; CWE-284"
CWE-073,CWE_Top25,Design,high,Implementation,Managing privilege settings and trust zones is an architectural design principle.,"Architecture and Design","Very carefully manage the setting, management, and handling of privileges. Explicitly manage trust zones in the software.","CWE-284"
CWE-074,CWE_Top25,Design,high,Implementation,Dividing software into privilege areas and using centralized authentication is an architectural design decision.,"Architecture and Design","Divide the software into anonymous, normal, privileged, and administrative areas. Identify which of these areas require a proven user identity, and use a centralized authentication capability.","CWE-306; CWE-862; CWE-863"
CWE-075,CWE_Top25,Design,high,Implementation,Using framework-provided authentication rather than custom implementations is an architectural design decision.,"Architecture and Design","Where possible, avoid implementing custom, grow-your-own authentication routines and consider using authentication capabilities as provided by the surrounding framework, operating system, or environment.","CWE-306"
CWE-076,CWE_Top25,Implementation,high,Deployment,Requiring strong cloud authentication is both an implementation and operational deployment configuration.,"Implementation System Configuration Operation","When storing data in the cloud (e.g., S3 buckets, Azure blobs, Google Cloud Storage, etc.), use the provider's controls to require strong authentication for users who should be allowed to access the data.","CWE-306; REF-1297; REF-1298; REF-1302"
CWE-077,CWE_Top25,Design,high,Implementation,Using RBAC to enforce role boundaries is an architectural access control design principle.,"Architecture and Design","Use role-based access control (RBAC) to enforce the roles at the appropriate boundaries.","CWE-862; CWE-863; REF-229"
CWE-078,CWE_Top25,Design,high,Implementation,Ensuring business logic access control checks is an architectural design principle.,"Architecture and Design","Ensure that access control checks are performed related to the business logic.","CWE-863"
CWE-079,CWE_Top25,Design,high,Deployment,Using OS/server ACLs with default-deny policy is an architectural design principle also applied at deployment.,"Architecture and Design","Use the access control capabilities of your operating system and server environment and define your access control lists accordingly. Use a default deny policy when defining these ACLs.","CWE-862; CWE-863"
CWE-080,CWE_Top25,Implementation,high,Design,Making fields transient to protect from deserialization is primarily applied during coding.,"Architecture and Design Implementation","Make fields transient to protect them from deserialization.","CWE-502"
CWE-081,CWE_Top25,Deployment,high,,Deploying an application firewall is an operational deployment-time control.,"Operation","Use an application firewall that can detect attacks against this weakness. It can be beneficial in cases in which the code cannot be fixed, as an emergency prevention measure, or to provide defense in depth.","CWE-502; REF-1481"
CWE-082,CWE_Top25,Implementation,high,,Generating unique filenames for uploads rather than using user-supplied names is a coding practice.,"Implementation","Generate a new, unique filename for an uploaded file instead of using the user-supplied filename, so that no external input is used at all.","CWE-434; REF-422; REF-423"
CWE-083,CWE_Top25,Implementation,high,,Limiting file extension to an allowlist is an implementation-level coding practice.,"Implementation","Define a very limited set of allowable extensions and only generate filenames that end in these extensions.","CWE-434"
CWE-084,CWE_Top25,Implementation,high,,Ensuring single extension in filenames is an implementation-level coding practice.,"Implementation","Ensure that only one extension is used in the filename.","CWE-434"
CWE-085,CWE_Top25,Implementation,high,,Not relying solely on MIME type or filename for rendering decisions is an implementation-level practice.,"Implementation","Do not rely exclusively on the MIME content type or filename attribute when determining how to render a file.","CWE-434"
RMF-001,NIST_AI_RMF,Not Applicable,high,,This policy governs NIST's internal framework maintenance schedule, not software development activities.,"NIST","NIST will review the content and usefulness of the Framework regularly to determine if an update is appropriate; a review with formal input from the AI community is expected to take place no later than 2028.","UpdateScheduleandVersions; Page 3"
RMF-002,NIST_AI_RMF,Not Applicable,high,,Framework versioning policy governs documentation management, not software development activities.,"AI RMF maintainers / NIST","The Framework will employ a two-number versioning system to track and identify major and minor changes.","UpdateScheduleandVersions; Page 3"
RMF-003,NIST_AI_RMF,Not Applicable,high,,Version control table maintenance is an administrative framework policy, not part of software development.,"AI RMF maintainers / NIST","All changes will be tracked using a Version Control Table which identifies the history, including version number, date of change, and description of change.","UpdateScheduleandVersions; Page 3"
RMF-004,NIST_AI_RMF,Not Applicable,high,,NIST Playbook update schedule is an administrative policy, not a software development activity.,"NIST","NIST plans to update the AI RMF Playbook frequently.","UpdateScheduleandVersions; Page 3"
RMF-005,NIST_AI_RMF,Not Applicable,high,,Public comment process for framework updates is administrative, not software development.,"Public / Playbook commenters","Comments on the AI RMF Playbook may be sent via email to AIframework@nist.gov at any time and will be reviewed and integrated on a semi-annual basis.","UpdateScheduleandVersions; Page 3"
RMF-006,NIST_AI_RMF,Planning,high,Requirements Analysis,Considering human over-reliance on AI is a risk management consideration addressed in planning and requirements phases.,"","AI risk management efforts should consider that humans may assume that AI systems work – and work well – in all settings.","1. Framing Risk; 1.1 UnderstandingandAddressingRisks,Impacts,andHarms; Page 4"
RMF-007,NIST_AI_RMF,Planning,high,Requirements Analysis,Managing AI risk across all parties is a planning-level governance requirement established before development begins.,"All parties and AI actors","Regardless, all parties and AI actors should manage risk in the AI systems they develop, deploy, or use as standalone or integrated components.","1.2.1 RiskMeasurement; Page 5"
RMF-008,NIST_AI_RMF,Planning,high,Requirements Analysis,Measuring impacts on populations considering context is a risk measurement approach established during planning.,"Approaches for measuring impacts / AI actors","Approaches for measuring impacts on a population work best if they recognize that contexts matter, that harms may affect varied groups or sub-groups differently.","1.2.1 RiskMeasurement; Page 5"
RMF-009,NIST_AI_RMF,Planning,high,Requirements Analysis,Shared responsibilities for trustworthy AI across all actors is a planning and governance principle.,"All involved AI actors","All involved AI actors share responsibilities for designing, developing, and deploying a trustworthy AI system that is fit for purpose.","1.2.1 RiskMeasurement; Page 6"
RMF-010,NIST_AI_RMF,Not Applicable,high,,The policy describes framework flexibility and alignment with laws; this is administrative guidance for framework users, not a software development activity.,"Framework users / organizations","The Framework is intended to be flexible and to augment existing risk practices which should align with applicable laws, regulations, and norms.","1.2.2 RiskTolerance; Page 6"
RMF-011,NIST_AI_RMF,Planning,high,,Following organizational risk criteria and regulations is a planning-level governance requirement.,"Organizations","Organizations should follow existing regulations and guidelines for risk criteria, tolerance, and response established by organizational, domain, discipline, sector, or professional requirements.","1.2.2 RiskTolerance; ISO GUIDE 73; Page 6"
RMF-012,NIST_AI_RMF,Planning,high,,Defining organizational risk tolerance is a planning-level activity.,"Organizations","Where established guidelines do not exist, organizations should define reasonable risk tolerance.","1.2.2 RiskTolerance; Page 6"
RMF-013,NIST_AI_RMF,Planning,high,,Prioritizing resources based on risk level is a planning activity.,"Organizations","Policies and resources should be prioritized based on the assessed risk level and potential impact of an AI system.","1.2.3 RiskPrioritization; Page 7"
RMF-014,NIST_AI_RMF,Planning,high,,Risk prioritization and thorough risk management processes are established during planning.,"Organizations","When applying the AI RMF, risks which the organization determines to be highest for the AI systems within a given context of use call for the most urgent prioritization and most thorough risk management process.","1.2.3 RiskPrioritization; Page 7"
RMF-015,NIST_AI_RMF,Planning,high,Maintenance,Ceasing development/deployment when unacceptable risk is present is a planning and operational decision.,"Organizations / AI system developers/deployers","In cases where an AI system presents unacceptable negative risk levels–such as where significant negative impacts are imminent, severe harms are actually occurring, or catastrophic risks are present – development and deployment should cease in a safe manner until risks can be sufficiently managed.","1.2.3 RiskPrioritization; ISO GUIDE 73; Page 7"
RMF-016,NIST_AI_RMF,Planning,high,,Integrating AI risk management into enterprise risk management is a planning/governance activity.,"Organizations","AI risk management should be integrated and incorporated into broader enterprise risk management strategies and processes.","1.2.4 OrganizationalIntegrationandManagementofRisk; Page 8"
RMF-017,NIST_AI_RMF,Planning,high,,Establishing accountability mechanisms, roles and responsibilities, culture and incentive structures is a planning activity.,"Organizations","Organizations need to establish and maintain the appropriate accountability mechanisms, roles and responsibilities, culture, and incentive structures for risk management to be effective.","1.2.4 OrganizationalIntegrationandManagementofRisk; Page 8"
RMF-018,NIST_AI_RMF,Testing,high,Planning,Determining AI trustworthiness metrics and threshold values is done during measurement and testing.,"AI actors / metric designers","Human judgment should be employed when deciding on the specific metrics related to AI trustworthiness characteristics and the precise threshold values for those metrics.","3. AI Risks and Trustworthiness; Page 12"
RMF-019,NIST_AI_RMF,Planning,high,,Determining whether AI is appropriate for a given context is a joint planning-level responsibility.,"All AI actors","It is the joint responsibility of all AI actors to determine whether AI technology is an appropriate or necessary tool for a given context or purpose, and how to use it responsibly.","3. AI Risks and Trustworthiness; Page 12"
RMF-020,NIST_AI_RMF,Testing,high,,Accuracy measurements with representative test sets are testing phase activities.,"Developers and testers","Accuracy measurements should always be paired with clearly defined and realistic test sets–that are representative of conditions of expected use–and details about test methodology; these should be included in associated documentation.","3.1 ValidandReliable; ISO/IEC TS 5723:2022; Page 13"
RMF-021,NIST_AI_RMF,Testing,high,,Disaggregation of accuracy results for different data segments is a testing activity.,"Developers and testers","Accuracy measurements may include disaggregation of results for different data segments.","3.1 ValidandReliable; ISO/IEC TS 5723:2022; Page 13"
RMF-022,NIST_AI_RMF,Planning,high,Testing,Prioritizing minimization of negative impacts and enabling human intervention is a planning and testing consideration.,"AI risk management efforts / organizations","AI risk management efforts should prioritize the minimization of potential negative impacts, and may need to include human intervention in cases where the AI system cannot detect or correct errors.","3.1 ValidandReliable; Page 13"
RMF-023,NIST_AI_RMF,Design,high,Requirements Analysis,Designing AI systems not to endanger life/health/property is a safety requirement established at design.,"AI systems / designers / deployers","AI systems should not under defined conditions lead to a state in which human life, health, property, or the environment is endangered.","3.2 Safe; ISO/IEC TS 5723:2022; Page 14"
RMF-024,NIST_AI_RMF,Planning,high,Design,Employing safety considerations starting at planning and design is a lifecycle principle.,"Designers and developers","Employing safety considerations during the lifecycle and starting as early as possible with planning and design can prevent failures or conditions that can render a system dangerous.","3.2 Safe; Page 14"
RMF-025,NIST_AI_RMF,Testing,high,Maintenance,Rigorous simulation/in-domain testing and real-time monitoring for AI safety is primarily a testing and maintenance activity.,"Developers and deployers","Other practical approaches for AI safety often relate to rigorous simulation and in-domain testing, real-time monitoring, and the ability to shut down, modify, or have human intervention into systems that deviate from intended or expected functionality.","3.2 Safe; Page 14"
RMF-026,NIST_AI_RMF,Planning,high,,Aligning AI safety risk management with sector guidelines is a planning-level activity.,"AI safety risk managers / organizations","AI safety risk management approaches should take cues from efforts and guidelines for safety in fields such as transportation and healthcare, and align with existing sector- or application-specific guidelines or standards.","3.2 Safe; Page 14"
RMF-027,NIST_AI_RMF,Design,high,Implementation,Designing AI systems to maintain CIA through protection mechanisms is a design principle.,"","AI systems that can maintain confidentiality, integrity, and availability through protection mechanisms that prevent unauthorized access and use may be said to be secure.","3.3 SecureandResilient; Page 15"
RMF-028,NIST_AI_RMF,Planning,high,,Following NIST CSF and RMF guidance is a planning-level framework alignment activity.,"Framework users / organizations","Guidelines in the NIST Cybersecurity Framework and Risk Management Framework are among those which are applicable here.","3.3 SecureandResilient; NIST Cybersecurity Framework; Risk Management Framework; Page 15"
RMF-029,NIST_AI_RMF,Planning,high,Maintenance,Adjusting transparency and accountability proportionally when consequences are severe is a planning and maintenance principle.,"AI developers and deployers","When consequences are severe, such as when life and liberty are at stake, AI developers and deployers should consider proportionally and proactively adjusting their transparency and accountability practices.","3.4 AccountableandTransparent; Page 15"
RMF-030,NIST_AI_RMF,Planning,high,,Balancing transparency/accountability measures with organizational resource constraints is a planning consideration.,"Organizations","Measures to enhance transparency and accountability should also consider the impact of these efforts on the implementing entity, including the level of necessary resources and the need to safeguard proprietary information.","3.4 AccountableandTransparent; Page 15"
RMF-031,NIST_AI_RMF,Implementation,high,Planning,Maintaining training data provenance and supporting attribution for decisions is an implementation activity.,"Developers / data maintainers","Maintaining the provenance of training data and supporting attribution of the AI system's decisions to subsets of training data can assist with both transparency and accountability.","3.4 AccountableandTransparent; Page 15"
RMF-032,NIST_AI_RMF,Planning,high,,Following intellectual property laws for training data is a planning-level compliance requirement.,"Developers / organizations","Training data may also be subject to copyright and should follow applicable intellectual property rights laws.","3.4 AccountableandTransparent; Page 15"
RMF-033,NIST_AI_RMF,Testing,high,Deployment,Testing transparency tools in cooperation with deployers is a testing and deployment activity.,"Developers of AI systems","Developers of AI systems are encouraged to test different types of transparency tools in cooperation with AI deployers to ensure that AI systems are used as intended.","3.4 AccountableandTransparent; Page 15"
RMF-034,NIST_AI_RMF,Design,high,Maintenance,Describing how AI systems function, tailored to user roles and knowledge, is a design-time documentation activity.,"Developers / deployers / documenters","Risk from lack of explainability may be managed by describing how AI systems function, with descriptions tailored to individual differences such as the user's role, knowledge, and skill level.","3.5 ExplainableandInterpretable; Page 16"
