source_file,definition,scope,policy_description,reference,agent_stage_primary,agent_stage_secondary,agent_stage_reason
LLMALL.json,complete mediation: a principle ensuring all requests are validated against security policies.,All requests made to downstream systems via LLM extensions.,Implement authorization in downstream systems rather than relying on an LLM to decide if an action is allowed or not.,OWASP Top 10 for LLM Applications v2.0,Action/Tool Use,,"Primary cues: \bextension(s)?\b, \bdownstream systems?\b, \bimplement\b."
LLMALL.json,input sanitisation: the process of cleaning input data to prevent security vulnerabilities.,All inputs and outputs processed by LLM applications.,"Follow secure coding best practice, such as applying OWASP’s recommendations in ASVS (Application Security Verification Standard), with a particularly strong focus on input sanitisation.",OWASP Top 10 for LLM Applications v2.0,Evaluation/Reflection,,"Primary cues: \bverif(?:y|ication)\b, \bvulnerabilit(?:y|ies)\b."
LLMALL.json,logging: the process of recording system activities for monitoring and auditing.,All activities of LLM extensions and downstream systems.,"Log and monitor the activity of LLM extensions and downstream systems to identify where undesirable actions are taking place, and respond accordingly.",OWASP Top 10 for LLM Applications v2.0,Observation,Action/Tool Use,"Primary cues: \blog(?:ging)?\b, \bmonitor(?:ing)?\b, \baudit(?:ing)?\b."
LLMALL.json,rate-limiting: a technique to control the number of requests a user can make in a given time period.,All LLM applications and their interactions with users.,Implement rate-limiting to reduce the number of undesirable actions that can take place within a given time period.,OWASP Top 10 for LLM Applications v2.0,Action/Tool Use,,"Primary cues: \bimplement\b, \brate-?limit(?:ing)?\b."
LLMALL.json,system prompt leakage: the risk of sensitive information being disclosed through system prompts.,All LLM applications utilizing system prompts.,"Avoid embedding any sensitive information (e.g. API keys, auth keys, database names, user roles, permission structure of the application) directly in the system prompts.",OWASP Top 10 for LLM Applications v2.0,Perception/Input,Memory Retrieval; Action/Tool Use,Primary cues: \bprompt\b.
LLMALL.json,guardrails: controls implemented outside of the LLM to ensure compliance with expected behavior.,All LLM applications and their outputs.,Implement a system of guardrails outside of the LLM itself to ensure compliance with expected behavior.,OWASP Top 10 for LLM Applications v2.0,Action/Tool Use,Evaluation/Reflection,"Primary cues: \bimplement\b, \bguardrails?\b."
LLMALL.json,unbounded consumption: excessive and uncontrolled inferences leading to resource exploitation.,All LLM applications allowing user queries.,Implement strict input validation to ensure that inputs do not exceed reasonable size limits.,OWASP Top 10 for LLM Applications v2.0,Perception/Input,Action/Tool Use,Primary cues: \binput validation\b.
LLMALL.json,resource allocation management: the process of monitoring and managing resource usage.,All LLM applications and their resource consumption.,Monitor and manage resource allocation dynamically to prevent any single user or request from consuming excessive resources.,OWASP Top 10 for LLM Applications v2.0,Observation,,Primary cues: \bmonitor(?:ing)?\b.
LLMALL.json,access controls: mechanisms to restrict access to systems and data.,All LLM model repositories and training environments.,"Implement strong access controls, including role-based access control (RBAC) and the principle of least privilege, to limit unauthorized access to LLM model repositories and training environments.",OWASP Top 10 for LLM Applications v2.0,Action/Tool Use,,"Primary cues: \bimplement\b, \baccess controls?\b."
NIST_SSDF.json,"Secure Software Development Framework (SSDF): A set of fundamental, sound practices for secure software development.","Applicable to all organizations involved in software development, regardless of size or sector.",Organizations should integrate the SSDF throughout their existing software development practices.,NIST Special Publication 800-218,Action/Tool Use,,No strong agent-lifecycle cues; defaulted to concrete action/tool execution.
NIST_SSDF.json,Residual vulnerabilities: Vulnerabilities that remain in software releases after initial development and testing.,Applicable to all software releases produced by the organization.,Organizations should identify residual vulnerabilities in their software releases and respond appropriately to address those vulnerabilities and prevent similar ones from occurring in the future.,NIST Special Publication 800-218,Evaluation/Reflection,,"Primary cues: \btest(?:ing)?\b, \bvulnerabilit(?:y|ies)\b."
NIST_SSDF.json,Tampering: Unauthorized alteration of software components.,Applicable to all components of software developed or maintained by the organization.,Organizations should protect all components of their software from tampering and unauthorized access.,NIST Special Publication 800-218,Action/Tool Use,,No strong agent-lifecycle cues; defaulted to concrete action/tool execution.
NIST_SSDF.json,"Security vulnerabilities: Flaws or weaknesses in software that can be exploited to compromise its integrity, confidentiality, or availability.",Applicable to all software releases produced by the organization.,Organizations should produce well-secured software with minimal security vulnerabilities in its releases.,NIST Special Publication 800-218,Evaluation/Reflection,,Primary cues: \bvulnerabilit(?:y|ies)\b.
NIST_SSDF.json,"Software Development Life Cycle (SDLC): A formal or informal methodology for designing, creating, and maintaining software.",Applicable to all software development processes within the organization.,Secure software development practices should be integrated throughout the SDLC to reduce the number of vulnerabilities in released software.,NIST Special Publication 800-218,Evaluation/Reflection,,Primary cues: \bvulnerabilit(?:y|ies)\b.
NIST_SSDF.json,Shifting left: A principle that emphasizes addressing security earlier in the software development life cycle.,Applicable to all phases of the software development life cycle.,"The earlier in the SDLC that security is addressed, the less effort and cost is ultimately required to achieve the same level of security.",NIST Special Publication 800-218,Action/Tool Use,,No strong agent-lifecycle cues; defaulted to concrete action/tool execution.
NIST_SSDF.json,Risk-based approach: A strategy that prioritizes actions based on the level of risk associated with vulnerabilities.,Applicable to all software development practices within the organization.,"Organizations should adopt a risk-based approach to determine what practices are relevant, appropriate, and effective to mitigate the threats to their software development practices.",NIST Special Publication 800-218,Evaluation/Reflection,,Primary cues: \bvulnerabilit(?:y|ies)\b.
NIST_SSDF.json,Shared responsibility model: A framework that defines the responsibilities of different parties involved in software development and delivery.,Applicable to organizations using cloud services or shared platforms for software development.,The tenant organization should establish an agreement with the providers that specifies which party is responsible for each practice and task.,NIST Special Publication 800-218,Action/Tool Use,,No strong agent-lifecycle cues; defaulted to concrete action/tool execution.
NIST_SSDF.json,Security requirements for software development are the documented expectations that must be met to ensure the security of software throughout its lifecycle.,All software development processes within the organization.,Ensure that security requirements for the organization’s software development are known at all times so that they can be taken into account throughout the SDLC.,NIST SP 800-218 SSDF VERSION 1.1,Reasoning/Planning,Memory Update,Primary cues: \bsecurity requirements?\b.
NIST_SSDF.json,Risk-based software architecture refers to design requirements that prioritize security and facilitate code reuse.,All organization-developed software.,"Define policies that specify risk-based software architecture and design requirements, such as making code modular to facilitate code reuse and updates.",NIST SP 800-218 SSDF VERSION 1.1,Reasoning/Planning,,"Primary cues: \bdesign requirements?\b, \barchitecture\b."
NIST_SSDF.json,Security requirements are the documented expectations that must be met to ensure the security of software.,All software development processes within the organization.,"Define policies that specify the security requirements for the organization’s software, and verify compliance at key points in the SDLC.",NIST SP 800-218 SSDF VERSION 1.1,Evaluation/Reflection,Reasoning/Planning; Memory Update,"Primary cues: \bverif(?:y|ication)\b, \bcompliance\b."
NIST_SSDF.json,"Provenance refers to the chronology of the origin, development, ownership, location, and changes to a system or system component.",All third-party software components provided to the organization.,Require third parties to provide provenance data and integrity verification mechanisms for all components of their software.,NIST SP 800-218 SSDF VERSION 1.1,Memory Update,Evaluation/Reflection,Primary cues: \bprovenance data\b.
NIST_SSDF.json,Development endpoints are the systems used by software developers to perform development-related tasks.,All development-related tasks performed by personnel.,"Configure each development endpoint based on approved hardening guides, checklists, etc., to perform development-related tasks using a risk-based approach.",NIST SP 800-218 SSDF VERSION 1.1,Action/Tool Use,,Primary cues: \bconfigure|configuration\b.
NIST_SSDF.json,Software integrity verification information includes data that confirms the authenticity and integrity of software releases.,All software releases made by the organization.,Make software integrity verification information available to software acquirers.,NIST SP 800-218 SSDF VERSION 1.1,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
NIST_SSDF.json,Provenance data refers to the information that tracks the history and changes of software components.,All components of each software release.,"Collect, safeguard, maintain, and share provenance data for all components of each software release.",NIST SP 800-218 SSDF VERSION 1.1,Memory Update,,"Primary cues: \bprovenance data\b, \bmaintain\b, \bshare provenance\b."
NIST_SSDF.json,Artifact refers to a piece of evidence that provides records of secure software development practices.,All software development processes within the organization.,Establish and enforce security and retention policies for artifact data.,NIST SP 800-218 SSDF VERSION 1.1,Memory Update,,"Primary cues: \bartifact data\b, \bretention\b, \brecords?\b."
NIST_SSDF.json,Security tools are software applications used to enhance the security of software development processes.,All tools and toolchains used in the software development lifecycle.,"Evaluate, select, and acquire tools, and assess the security of each tool.",NIST SP 800-218 SSDF VERSION 1.1,Evaluation/Reflection,,Primary cues: \bassess(?:ment)?\b.
NIST_SSDF.json,Access controls are security measures that restrict access to systems and data.,All environments involved in software development.,"Use multi-factor, risk-based authentication and conditional access for each environment.",NIST SP 800-218 SSDF VERSION 1.1,Action/Tool Use,,Primary cues: \baccess controls?\b.
NIST_SSDF.json,Risk modeling: A process used to identify and evaluate potential risks associated with software.,Applicable to all software development teams within the organization.,"Use forms of risk modeling – such as threat modeling, attack modeling, or attack surface mapping – to help assess the security risk for the software.",NIST SP 800-218 SSDF VERSION 1.1,Reasoning/Planning,,"Primary cues: \bthreat modeling\b, \brisk modeling\b, \battack surface\b."
NIST_SSDF.json,Security requirements: Specifications that define the security controls and measures that must be implemented in software.,Enforceable during the software design and development phases.,Identify and evaluate the security requirements for the software; determine what security risks the software is likely to face during operation and how the software’s design and architecture should mitigate those risks.,NIST SP 800-218 SSDF VERSION 1.1,Reasoning/Planning,,"Primary cues: \bsecurity requirements?\b, \barchitecture\b."
NIST_SSDF.json,Mitigations: Actions taken to reduce the severity or likelihood of security risks.,Applicable to all software development projects.,"Track and maintain the software’s security requirements, risks, and design decisions.",NIST SP 800-218 SSDF VERSION 1.1,Reasoning/Planning,Memory Update,Primary cues: \bsecurity requirements?\b.
NIST_SSDF.json,Standardized security features: Predefined security functionalities that can be integrated into software.,Applicable to all software development teams.,Build in support for using standardized security features and services instead of creating proprietary implementations of security features and services.,NIST SP 800-218 SSDF VERSION 1.1,Action/Tool Use,,No strong agent-lifecycle cues; defaulted to concrete action/tool execution.
NIST_SSDF.json,Qualified person: An individual with the necessary expertise to review software design.,Enforceable during the software design review process.,Have a qualified person who was not involved with the design review the software design to confirm that it addresses applicable security requirements.,NIST SP 800-218 SSDF VERSION 1.1,Reasoning/Planning,Evaluation/Reflection,"Primary cues: \bsecurity requirements?\b, \bdesign review\b."
NIST_SSDF.json,Well-secured software components: Software components that have been evaluated and confirmed to meet security standards.,Applicable to all software development projects.,"Acquire and maintain well-secured software components from commercial, open-source, and other third-party developers for use by the organization’s software.",NIST SP 800-218 SSDF VERSION 1.1,Memory Update,,Primary cues: \bmaintain\b.
NIST_SSDF.json,Secure coding practices: Guidelines and techniques that help developers write code that is secure from vulnerabilities.,Applicable to all software development teams.,Follow all secure coding practices that are appropriate to the development languages and environment to meet the organization’s requirements.,NIST SP 800-218 SSDF VERSION 1.1,Evaluation/Reflection,,Primary cues: \bvulnerabilit(?:y|ies)\b.
NIST_SSDF.json,"Executable code: Code that can be run by a computer, including binaries and scripts.",Applicable to all software testing phases.,"Determine whether executable code testing should be performed to find vulnerabilities not identified by previous reviews, analysis, or testing.",NIST SP 800-218 SSDF VERSION 1.1,Evaluation/Reflection,,"Primary cues: \btest(?:ing)?\b, \banaly(?:ze|sis)\b, \bvulnerabilit(?:y|ies)\b."
NIST_SSDF.json,Secure baseline: A defined set of secure configurations for software settings.,Applicable at the time of software installation.,Define a secure baseline by determining how to configure each setting that has an effect on security.,NIST SP 800-218 SSDF VERSION 1.1,Action/Tool Use,,Primary cues: \bconfigure|configuration\b.
NIST_SSDF.json,Vulnerabilities: Weaknesses in software that can be exploited by attackers.,Ongoing monitoring of software and third-party components.,"Gather information from software acquirers, vulnerability databases, and public sources on potential vulnerabilities in software.",NIST SP 800-218 SSDF VERSION 1.1,Observation,Evaluation/Reflection,Primary cues: \bmonitor(?:ing)?\b.
NIST_SSDF.json,Vulnerability disclosure program: A structured process for security researchers to report vulnerabilities and for the organization to respond.,All security researchers and stakeholders involved in vulnerability reporting.,"Have a policy that addresses vulnerability disclosure and remediation, and implement the roles, responsibilities, and processes needed to support that policy.","NIST SP 800-218 || EO14028: 4e(viii), 4e(ix) || ISO29147: All || ISO30111: All",Reasoning/Planning,Action/Tool Use; Evaluation/Reflection,Primary cues: \bpolicy\b.
NIST_SSDF.json,Product Security Incident Response Team (PSIRT): A team responsible for managing responses to security incidents and vulnerabilities.,All incidents and vulnerabilities reported to the organization.,"Have a Product Security Incident Response Team (PSIRT) and processes in place to handle the responses to vulnerability reports and incidents, including communications plans for all stakeholders.","NIST SP 800-218 || EO14028: 4e(viii), 4e(ix) || ISO29147: All || ISO30111: All",Evaluation/Reflection,,Primary cues: \bvulnerabilit(?:y|ies)\b.
NIST_SSDF.json,Security response playbook: A documented set of procedures for responding to security incidents.,All reported vulnerabilities and incidents.,"Have a security response playbook to handle a generic reported vulnerability, a report of zero-days, a vulnerability being exploited in the wild, and a major ongoing incident involving multiple parties and open-source software components.",NIST SP 800-218,Memory Update,Evaluation/Reflection,Primary cues: \bdocument(?:ed|ation)\b.
NIST_SSDF.json,Vulnerability assessment: The process of identifying and evaluating vulnerabilities in software.,All software developed or maintained by the organization.,Periodically conduct exercises of the product security incident response processes.,NIST SP 800-218,Evaluation/Reflection,,"Primary cues: \bassess(?:ment)?\b, \bvulnerabilit(?:y|ies)\b, \bexercise(s)?\b."
NIST_SSDF.json,Risk response: Actions taken to address identified vulnerabilities based on their risk assessment.,All identified vulnerabilities within the organization.,Analyze each vulnerability to gather sufficient information about risk to plan its remediation or other risk response.,NIST SP 800-218 || RV.2.1,Evaluation/Reflection,,"Primary cues: \bassess(?:ment)?\b, \banaly(?:ze|sis)\b, \bvulnerabilit(?:y|ies)\b."
NIST_SSDF.json,Risk-based decision: A decision made based on the assessment of risk associated with vulnerabilities.,All vulnerabilities identified within the organization.,"Make a risk-based decision as to whether each vulnerability will be remediated or if the risk will be addressed through other means (e.g., risk acceptance, risk transference), and prioritize any actions to be taken.",NIST SP 800-218 || RV.2.2,Evaluation/Reflection,Reasoning/Planning,"Primary cues: \bassess(?:ment)?\b, \bvulnerabilit(?:y|ies)\b."
NIST_SSDF.json,Security advisories: Notifications that provide information about vulnerabilities and their mitigations.,All vulnerabilities identified in the organization's software.,"Develop and release security advisories that provide the necessary information to software acquirers, including descriptions of what the vulnerabilities are, how to find instances of the vulnerable software, and how to address them.",NIST SP 800-218 || RV.2.2,Evaluation/Reflection,,Primary cues: \bvulnerabilit(?:y|ies)\b.
NIST_SSDF.json,Root cause analysis: The process of identifying the fundamental cause of vulnerabilities.,All identified vulnerabilities within the organization.,Analyze identified vulnerabilities to determine their root causes to help reduce the frequency of vulnerabilities in the future.,NIST SP 800-218 || RV.3.1,Evaluation/Reflection,,"Primary cues: \banaly(?:ze|sis)\b, \bvulnerabilit(?:y|ies)\b, \broot cause\b."
NIST_SSDF.json,Secure Development Lifecycle (SDLC): A process that incorporates security at every stage of software development.,All software development processes within the organization.,"Review the SDLC process, and update it if appropriate to prevent (or reduce the likelihood of) the root cause recurring in updates to the software or in new software that is created.",NIST SP 800-218 || RV.3.4,Evaluation/Reflection,,"Primary cues: \breview\b, \broot cause\b."
OWASP_ASVS.json,"Application: The software product being developed, into which security controls must be integrated.",All applications developed within the organization.,"ASVS defines an 'application' as the software product being developed, into which security controls must be integrated.",Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,Requirement: The word requirement is used specifically in the ASVS as it describes what must be achieved to satisfy it.,All requirements within the ASVS.,The ASVS only contains requirements (must) and does not contain recommendations (should) as the main condition.,Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,Documented Security Decisions: Requirements for documenting key security decisions to enhance traceability.,All applications developed within the organization.,Requirements for documenting key security decisions must be followed to enhance traceability and support context-sensitive implementations.,Application Security Verification Standard May 2025,Memory Retrieval,Memory Update; Evaluation/Reflection,Primary cues: \bcontext( window)?\b.
OWASP_ASVS.json,"Verification: The requirement must be verifiable, and the verification must result in a 'fail' or 'pass' decision.",All security requirements within the ASVS.,"Every requirement must have a demonstrable impact on security, and the absence of a requirement must result in a less secure application.",Application Security Verification Standard May 2025,Reasoning/Planning,Evaluation/Reflection,"Primary cues: \bsecurity requirements?\b, \bdecision\b."
OWASP_ASVS.json,Level 1: The minimum requirements to consider when securing an application.,All applications aiming for basic security compliance.,Level 1 contains around 20% of the ASVS requirements and represents a critical starting point for securing applications.,Application Security Verification Standard May 2025,Evaluation/Reflection,,"Primary cues: \bverif(?:y|ication)\b, \bcompliance\b."
OWASP_ASVS.json,Level 2: A comprehensive view of standard security practices.,Applications striving for a higher level of security than Level 1.,"Most applications should strive to achieve Level 2 security, which includes around 50% of the requirements in the ASVS.",Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,Level 3: The highest level of security requirements.,Applications looking to demonstrate the highest levels of security.,Level 3 provides the final ~30% of requirements to comply with the ASVS and includes advanced security controls.,Application Security Verification Standard May 2025,Reasoning/Planning,Evaluation/Reflection,Primary cues: \bsecurity requirements?\b.
OWASP_ASVS.json,"Scope of Verification: The scope of the verification should be clear, including which Level the organization is attempting to achieve.",All verification processes conducted by the organization.,"The verifier should make the scope of the verification clear, including which Level the organization is attempting to achieve and which requirements were included.",Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,Automated Security Testing Tools: Tools such as DAST and SAST that identify security issues.,All applications undergoing security testing.,Automated security testing tools must be correctly implemented in the build pipeline to identify security issues effectively.,Application Security Verification Standard May 2025,Evaluation/Reflection,,"Primary cues: \bverif(?:y|ication)\b, \btest(?:ing)?\b, \bSAST|DAST|penetration\b."
OWASP_ASVS.json,Penetration Testing: A method of testing security by simulating attacks.,All applications undergoing security verification.,Documentation or source code-led penetration testing is strongly encouraged to verify many of the ASVS requirements.,Application Security Verification Standard May 2025,Evaluation/Reflection,,"Primary cues: \bverif(?:y|ication)\b, \btest(?:ing)?\b, \bSAST|DAST|penetration\b."
OWASP_ASVS.json,Untrusted data: Data that has not been verified or sanitized and may pose a security risk.,All applications that dynamically build URLs.,"Verify that when dynamically building URLs, untrusted data is encoded according to its context (e.g., URL encoding or base64 URL encoding for query or path parameters). Ensure that only safe URL protocols are permitted (e.g., disallow javascript: or data:).",Application Security Verification Standard May 2025,Perception/Input,Memory Retrieval; Evaluation/Reflection,"Primary cues: \bencoding\b, \burl\b."
OWASP_ASVS.json,Output encoding: The process of converting data into a format that can be safely included in a web page or application output.,All applications that dynamically build JavaScript content.,"Verify that output encoding or escaping is used when dynamically building JavaScript content (including JSON), to avoid changing the message or document structure (to avoid JavaScript and JSON injection).",Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,"Primary cues: \bencoding\b, \binjection\b."
OWASP_ASVS.json,Parameterized queries: A method of executing database queries where parameters are passed separately from the query itself to prevent injection attacks.,All applications that perform data selection or database queries.,"Verify that data selection or database queries (e.g., SQL, HQL, NoSQL, Cypher) use parameterized queries, ORMs, entity frameworks, or are otherwise protected from SQL injection and other database injection attacks.",Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,Primary cues: \binjection\b.
OWASP_ASVS.json,OS command injection: A type of attack where an attacker executes arbitrary commands on the operating system via a vulnerable application.,All applications that make operating system calls.,Verify that the application protects against OS command injection and that operating system calls use parameterized OS queries or use contextual command line output encoding.,Application Security Verification Standard May 2025,Perception/Input,Action/Tool Use; Evaluation/Reflection,"Primary cues: \bencoding\b, \binjection\b."
OWASP_ASVS.json,LDAP injection: An attack that exploits vulnerabilities in applications that construct LDAP queries from user input.,All applications that interact with LDAP directories.,"Verify that the application protects against LDAP injection vulnerabilities, or that specific security controls to prevent LDAP injection have been implemented.",Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,"Primary cues: \buser input\b, \binjection\b."
OWASP_ASVS.json,XPath injection: An attack that exploits vulnerabilities in applications that construct XPath queries from user input.,All applications that use XPath queries.,Verify that the application is protected against XPath injection attacks by using query parameterization or precompiled queries.,Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,"Primary cues: \buser input\b, \binjection\b."
OWASP_ASVS.json,LaTeX injection: An attack that exploits vulnerabilities in applications that process LaTeX documents.,All applications that use LaTeX processors.,Verify that LaTeX processors are configured securely (such as not using the “–shell-escape” flag) and an allowlist of commands is used to prevent LaTeX injection attacks.,Application Security Verification Standard May 2025,Evaluation/Reflection,Perception/Input; Action/Tool Use,"Primary cues: \bverif(?:y|ication)\b, \bvulnerabilit(?:y|ies)\b."
OWASP_ASVS.json,"Regular expressions: A sequence of characters that define a search pattern, often used for string matching.",All applications that utilize regular expressions.,Verify that the application escapes special characters in regular expressions (typically using a backslash) to prevent them from being misinterpreted as metacharacters.,Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,CSV injection: An attack that exploits vulnerabilities in applications that generate CSV files.,All applications that export CSV content.,"Verify that the application is protected against CSV and Formula Injection. The application must follow the escaping rules defined in RFC4180 sections 2.6 and 2.7 when exporting CSV content. Additionally, when exporting to CSV or other spreadsheet formats (such as XLS, XLSX, or ODF), special characters (including ‘=’, ‘+’, ‘‑’, ‘@’, ‘	’ (tab), and ‘\0’ (null character)) must be escaped with a single quote if they appear as the first character in a field value.",Application Security Verification Standard May 2025,Evaluation/Reflection,Perception/Input,"Primary cues: \bverif(?:y|ication)\b, \bvulnerabilit(?:y|ies)\b."
OWASP_ASVS.json,Sanitization: The process of cleaning input data to remove potentially dangerous characters or content.,All applications that handle untrusted HTML input.,Verify that all untrusted HTML input from WYSIWYG editors or similar is sanitized using a well-known and secure HTML sanitization library or framework feature.,Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,Primary cues: \bsanitiz(?:e|ation|ing)\b.
OWASP_ASVS.json,"Dynamic code execution: The execution of code that is generated at runtime, which can introduce security risks.",All applications that use eval() or other dynamic code execution features.,"Verify that the application avoids the use of eval() or other dynamic code execution features such as Spring Expression Language (SpEL). Where there is no alternative, any user input being included must be sanitized before being executed.",Application Security Verification Standard May 2025,Perception/Input,Action/Tool Use; Evaluation/Reflection,Primary cues: \buser input\b.
OWASP_ASVS.json,Server-side Request Forgery (SSRF): An attack that allows an attacker to send crafted requests from the server to internal resources.,All applications that make requests to other services.,"Verify that the application protects against Server-side Request Forgery (SSRF) attacks, by validating untrusted data against an allowlist of protocols, domains, paths, and ports and sanitizing potentially dangerous characters before using the data to call another service.",Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,Primary cues: \bsanitiz(?:e|ation|ing)\b.
OWASP_ASVS.json,Template injection: An attack that exploits vulnerabilities in applications that use template engines.,All applications that use templates.,"Verify that the application protects against template injection attacks by not allowing templates to be built based on untrusted input. Where there is no alternative, any untrusted input being included dynamically during template creation must be sanitized or strictly validated.",Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,"Primary cues: \buntrusted input\b, \binjection\b."
OWASP_ASVS.json,Java Naming and Directory Interface (JNDI): An API that provides naming and directory functionality to applications.,All applications that use JNDI.,Verify that the application appropriately sanitizes untrusted input before use in Java Naming and Directory Interface (JNDI) queries and that JNDI is configured securely to prevent JNDI injection attacks.,Application Security Verification Standard May 2025,Perception/Input,Action/Tool Use; Evaluation/Reflection,"Primary cues: \buntrusted input\b, \binjection\b."
OWASP_ASVS.json,Memcache: A distributed memory caching system used to speed up dynamic web applications.,All applications that use memcache.,Verify that the application sanitizes content before it is sent to memcache to prevent injection attacks.,Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,Primary cues: \binjection\b.
OWASP_ASVS.json,Format strings: A string that specifies how to format output.,All applications that use format strings.,Verify that format strings which might resolve in an unexpected or malicious way when used are sanitized before being processed.,Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,"SMTP: Simple Mail Transfer Protocol, used for sending emails.",All applications that pass user input to mail systems.,Verify that the application sanitizes user input before passing to mail systems to protect against SMTP or IMAP injection.,Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,"Primary cues: \buser input\b, \binjection\b."
OWASP_ASVS.json,Regular expressions: A sequence of characters that define a search pattern.,All applications that use regular expressions.,"Verify that regular expressions are free from elements causing exponential backtracking, and ensure untrusted input is sanitized to mitigate ReDoS or Runaway Regex attacks.",Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,Primary cues: \buntrusted input\b.
